,ID,Name,Parameter,Language,Frequency,Confidence,References
0,14A,No fixed stress,Fixed Stress Locations,Tümpisa Shoshone,,,Dayley 1989a
1,15A,Left-edge: First or second,Weight-Sensitive Stress,Tümpisa Shoshone,,,Dayley 1989a
2,16A,Long vowel,Weight Factors in Weight-Sensitive Stress Systems,Tümpisa Shoshone,,,Dayley 1989a
3,17A,Trochaic,Rhythm Types,Tümpisa Shoshone,,,Dayley 1989a
4,23A,Dependent marking,Locus of Marking in the Clause,Tümpisa Shoshone,,,Dayley 1989a
5,24A,Dependent marking,Locus of Marking in Possessive Noun Phrases,Tümpisa Shoshone,,,Dayley 1989a
6,25A,Dependent-marking,Locus of Marking: Whole-language Typology,Tümpisa Shoshone,,,Dayley 1989a
7,25B,Non-zero marking,Zero Marking of A and P Arguments,Tümpisa Shoshone,,,Dayley 1989a
8,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Tümpisa Shoshone,,,Dayley 1989a
9,30A,None,Number of Genders,Tümpisa Shoshone,,,Dayley 1989a
10,31A,No gender,Sex-based and Non-sex-based Gender Systems,Tümpisa Shoshone,,,Dayley 1989a
11,32A,No gender,Systems of Gender Assignment,Tümpisa Shoshone,,,Dayley 1989a
12,33A,Plural suffix,Coding of Nominal Plurality,Tümpisa Shoshone,,,Dayley 1989a
13,35A,Person stem + nominal plural affix,Plurality in Independent Personal Pronouns,Tümpisa Shoshone,,,Dayley 1989a
14,37A,No definite or indefinite article,Definite Articles,Tümpisa Shoshone,,,Dayley 1989a
15,38A,No definite or indefinite article,Indefinite Articles,Tümpisa Shoshone,,,Dayley 1989a
16,41A,Three-way contrast,Distance Contrasts in Demonstratives,Tümpisa Shoshone,,,Dayley 1989a
17,42A,Identical,Pronominal and Adnominal Demonstratives,Tümpisa Shoshone,,,Dayley 1989a
18,43A,Related for all demonstratives,Third Person Pronouns and Demonstratives,Tümpisa Shoshone,,,Dayley 1989a
19,51A,Case suffixes,Position of Case Affixes,Tümpisa Shoshone,,,Dayley 1989a
20,53A,"First/one-th, two-th, three-th",Ordinal Numerals,Tümpisa Shoshone,,,Dayley 1989a
21,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Tümpisa Shoshone,,,Dayley 1989a
22,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Tümpisa Shoshone,,,Dayley 1989a
23,70A,Second singular and second plural,The Morphological Imperative,Tümpisa Shoshone,,,Dayley 1989a
24,71A,Normal imperative + normal negative,The Prohibitive,Tümpisa Shoshone,,,Dayley 1989a
25,77A,Indirect only,Semantic Distinctions of Evidentiality,Tümpisa Shoshone,,,Dayley 1989a
26,78A,Separate particle,Coding of Evidentiality,Tümpisa Shoshone,,,Dayley 1989a
27,81A,SOV,"Order of Subject, Object and Verb",Tümpisa Shoshone,,,Dayley 1989a
28,82A,SV,Order of Subject and Verb,Tümpisa Shoshone,,,Dayley 1989a
29,83A,OV,Order of Object and Verb,Tümpisa Shoshone,,,Dayley 1989a
30,84A,No dominant order,"Order of Object, Oblique, and Verb",Tümpisa Shoshone,,,Dayley 1989a
31,85A,Inpositions,Order of Adposition and Noun Phrase,Tümpisa Shoshone,,,Dayley 1989a
32,86A,Genitive-Noun,Order of Genitive and Noun,Tümpisa Shoshone,,,Dayley 1989a
33,87A,Adjective-Noun,Order of Adjective and Noun,Tümpisa Shoshone,,,Dayley 1989a
34,88A,Demonstrative before and after Noun,Order of Demonstrative and Noun,Tümpisa Shoshone,,,Dayley 1989a
35,89A,Numeral-Noun,Order of Numeral and Noun,Tümpisa Shoshone,,,Dayley 1989a
36,90A,Mixed,Order of Relative Clause and Noun,Tümpisa Shoshone,,,Dayley 1989a
37,90B,RelN or NRel,Prenominal relative clauses,Tümpisa Shoshone,,,Dayley 1989a
38,90C,NRel or RelN,Postnominal relative clauses,Tümpisa Shoshone,,,Dayley 1989a
39,91A,No dominant order,Order of Degree Word and Adjective,Tümpisa Shoshone,,,Dayley 1989a
40,92A,Second position,Position of Polar Question Particles,Tümpisa Shoshone,,,Dayley 1989a
41,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Tümpisa Shoshone,,,Dayley 1989a
42,94A,Mixed,Order of Adverbial Subordinator and Clause,Tümpisa Shoshone,,,Dayley 1989a
43,95A,Other,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Tümpisa Shoshone,,,
44,96A,Other,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Tümpisa Shoshone,,,
45,97A,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Tümpisa Shoshone,,,
46,105A,Double-object construction,Ditransitive Constructions: The Verb 'Give',Tümpisa Shoshone,,,Dayley 1989a
47,111A,Both,Nonperiphrastic Causative Constructions,Tümpisa Shoshone,,,Dayley 1989a
48,112A,Negative particle,Negative Morphemes,Tümpisa Shoshone,,,Dayley 1989a
49,116A,Question particle,Polar Questions,Tümpisa Shoshone,,,Dayley 1989a
50,117A,'Have',Predicative Possession,Tümpisa Shoshone,,,Dayley 1989a
51,118A,Mixed,Predicative Adjectives,Tümpisa Shoshone,,,Dayley 1989a
52,119A,Different,Nominal and Locational Predication,Tümpisa Shoshone,,,Dayley 1989a
53,120A,Possible,Zero Copula for Predicate Nominals,Tümpisa Shoshone,,,Dayley 1989a
54,121A,Particle,Comparative Constructions,Tümpisa Shoshone,,,Dayley 1989a
55,125A,Deranked,Purpose Clauses,Tümpisa Shoshone,,,Dayley 1989a
56,126A,Deranked,'When' Clauses,Tümpisa Shoshone,,,Dayley 1989a
57,127A,Deranked,Reason Clauses,Tümpisa Shoshone,,,Dayley 1989a
58,128A,Balanced,Utterance Complement Clauses,Tümpisa Shoshone,,,Dayley 1989a
59,129A,Different,Hand and Arm,Tümpisa Shoshone,,,Dayley 1989a
60,130A,Different,Finger and Hand,Tümpisa Shoshone,,,Dayley 1989a
61,143A,OptDoubleNeg,Order of Negative Morpheme and Verb,Tümpisa Shoshone,,,Dayley 1989a
62,143C,Neg[V(-Neg)],Optional Double Negation,Tümpisa Shoshone,,,Dayley 1989a
63,143E,NegV,Preverbal Negative Morphemes,Tümpisa Shoshone,,,Dayley 1989a
64,143F,[V-Neg],Postverbal Negative Morphemes,Tümpisa Shoshone,,,Dayley 1989a
65,143G,None,Minor morphological means of signaling negation,Tümpisa Shoshone,,,Dayley 1989a
66,144A,OptDoubleNeg,"Position of Negative Word With Respect to Subject, Object, and Verb",Tümpisa Shoshone,,,Dayley 1989a
67,144B,"Preverbal, not beginning or immed",Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Tümpisa Shoshone,,,Dayley 1989a
68,144L,OptDoubleNeg,The Position of Negative Morphemes in SOV Languages,Tümpisa Shoshone,,,Dayley 1989a
69,144O,SNegO[V(-Neg)],Optional Double Negation in SOV languages,Tümpisa Shoshone,,,Dayley 1989a
70,144P,No NegSOV,NegSOV Order,Tümpisa Shoshone,,,Dayley 1989a
71,144Q,OptDoubleNeg,SNegOV Order,Tümpisa Shoshone,,,Dayley 1989a
72,144R,No SONegV,SONegV Order,Tümpisa Shoshone,,,Dayley 1989a
73,144S,Suffix&OnlyWithAnotherNeg,SOVNeg Order,Tümpisa Shoshone,,,Dayley 1989a
