,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Ukrainian,,,Humesky 1980
1,30A,Three,Number of Genders,Ukrainian,,,Shevelov 1993
2,31A,Sex-based,Sex-based and Non-sex-based Gender Systems,Ukrainian,,,Shevelov 1993
3,32A,Semantic and formal,Systems of Gender Assignment,Ukrainian,,,Shevelov 1993
4,33A,Plural suffix,Coding of Nominal Plurality,Ukrainian,,,Stechishin 1958
5,37A,No definite or indefinite article,Definite Articles,Ukrainian,,,Stechishin 1958
6,38A,No definite or indefinite article,Indefinite Articles,Ukrainian,,,Stechishin 1958
7,46A,Interrogative-based,Indefinite Pronouns,Ukrainian,,,Beloded and Zhovtobrjux 1966
8,51A,Case suffixes,Position of Case Affixes,Ukrainian,,,Stechishin 1958
9,53A,"First, second, three-th",Ordinal Numerals,Ukrainian,,,Struk 1982
10,54A,Marked by preceding word,Distributive Numerals,Ukrainian,,,Pugh and Press 1999
11,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Ukrainian,,,Stechishin 1958
12,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Ukrainian,,,Stechishin 1958
13,70A,Second singular and second plural,The Morphological Imperative,Ukrainian,,,Danylenko and Vakulenko 1995
14,71A,Normal imperative + normal negative,The Prohibitive,Ukrainian,,,
15,72A,Neither type of system,Imperative-Hortative Systems,Ukrainian,,,
16,79A,Tense and aspect,Suppletion According to Tense and Aspect,Ukrainian,,,Humesky 1980
17,79B,None (= no suppletive imperatives reported in the reference material),Suppletion in Imperatives and Hortatives,Ukrainian,,,
18,80A,None,Verbal Number and Suppletion,Ukrainian,,,Humesky 1980
19,81A,SVO,"Order of Subject, Object and Verb",Ukrainian,,,Stechishin 1958
20,82A,SV,Order of Subject and Verb,Ukrainian,,,Stechishin 1958
21,83A,VO,Order of Object and Verb,Ukrainian,,,Stechishin 1958
22,85A,Prepositions,Order of Adposition and Noun Phrase,Ukrainian,,,Stechishin 1958
23,87A,Adjective-Noun,Order of Adjective and Noun,Ukrainian,,,Stechishin 1958
24,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Ukrainian,,,Stechishin 1958
25,89A,Numeral-Noun,Order of Numeral and Noun,Ukrainian,,,Humesky 1980
26,90A,Noun-Relative clause,Order of Relative Clause and Noun,Ukrainian,,,Stechishin 1958
27,90C,Noun-Relative clause (NRel) dominant,Postnominal relative clauses,Ukrainian,,,Stechishin 1958
28,92A,Initial,Position of Polar Question Particles,Ukrainian,,,Stechishin 1958
29,94A,Initial subordinator word,Order of Adverbial Subordinator and Clause,Ukrainian,,,Stechishin 1958
30,95A,VO and Prepositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Ukrainian,,,
31,96A,VO and NRel,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Ukrainian,,,
32,97A,VO and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Ukrainian,,,
33,101A,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Ukrainian,,,Pugh and Press 1999
34,108A,No antipassive,Antipassive Constructions,Ukrainian,,,Shevelov 1993
35,108B,no antipassive,Productivity of the Antipassive Construction,Ukrainian,,,Shevelov 1993
36,109A,No applicative construction,Applicative Constructions,Ukrainian,,,Shevelov 1993
37,109B,No applicative construction,Other Roles of Applied Objects,Ukrainian,,,
38,112A,Negative particle,Negative Morphemes,Ukrainian,,,Stechishin 1958
39,113A,Symmetric,Symmetric and Asymmetric Standard Negation,Ukrainian,,,Danylenko and Vakulenko 1995
40,114A,Non-assignable,Subtypes of Asymmetric Standard Negation,Ukrainian,,,Danylenko and Vakulenko 1995
41,116A,Question particle,Polar Questions,Ukrainian,,,Stechishin 1958
42,129A,Identical,Hand and Arm,Ukrainian,,,Hrabovsky 1991
43,130A,Different,Finger and Hand,Ukrainian,,,Hrabovsky 1991
44,138A,Words derived from Sinitic cha,Tea,Ukrainian,,,Malherbe and Rosenberg 1996
45,143A,NegV,Order of Negative Morpheme and Verb,Ukrainian,,,Stechishin 1958
46,143E,NegV,Preverbal Negative Morphemes,Ukrainian,,,Stechishin 1958
47,143F,None,Postverbal Negative Morphemes,Ukrainian,,,Stechishin 1958
48,143G,None,Minor morphological means of signaling negation,Ukrainian,,,Stechishin 1958
49,144A,SNegVO,"Position of Negative Word With Respect to Subject, Object, and Verb",Ukrainian,,,Stechishin 1958
50,144B,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Ukrainian,,,Stechishin 1958
51,144D,SNegVO,The Position of Negative Morphemes in SVO Languages,Ukrainian,,,Stechishin 1958
52,144H,No NegSVO,NegSVO Order,Ukrainian,,,Stechishin 1958
53,144I,Word&NoDoubleNeg,SNegVO Order,Ukrainian,,,Stechishin 1958
54,144J,No SVNegO,SVNegO Order,Ukrainian,,,Stechishin 1958
55,144K,No SVONeg,SVONeg Order,Ukrainian,,,Stechishin 1958
