,ID,Name,Parameter,Language,Frequency,Confidence,References
0,14A,Penultimate,Fixed Stress Locations,Uma,,,Esser 1964
1,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Uma,,,Esser 1964
2,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Uma,,,Esser 1964
3,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Uma,,,Martens 1988b
4,48A,Pronouns only,Person Marking on Adpositions,Uma,,,Martens 1988b
5,70A,No second-person imperatives,The Morphological Imperative,Uma,,,Esser 1964
6,71A,Normal imperative + normal negative,The Prohibitive,Uma,,,Esser 1964
7,72A,Neither type of system,Imperative-Hortative Systems,Uma,,,Esser 1964
8,100A,Ergative,Alignment of Verbal Person Marking,Uma,,,Martens 1988b
9,102A,Both the A and P arguments,Verbal Person Marking,Uma,,,Martens 1988b
10,103A,No zero realization,Third Person Zero of Verbal Person Marking,Uma,,,Martens 1988b
11,104A,A precedes P,Order of Person Markers on the Verb,Uma,,,Martens 1988b
12,107A,Absent,Passive Constructions,Uma,,,Martens 1988b
