,ID,Name,Parameter,Language,Frequency,Confidence,References
0,9A,No initial velar nasal,The Velar Nasal,Uzbek,,,Xodzhiev 1997
1,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Uzbek,,,Boeschoten 1998
2,30A,None,Number of Genders,Uzbek,,,Sjoberg 1963
3,31A,No gender,Sex-based and Non-sex-based Gender Systems,Uzbek,,,Sjoberg 1963
4,32A,No gender,Systems of Gender Assignment,Uzbek,,,Sjoberg 1963
5,33A,Plural suffix,Coding of Nominal Plurality,Uzbek,,,Sjoberg 1963
6,35A,Person-number stem + nominal plural affix,Plurality in Independent Personal Pronouns,Uzbek,,,Kononov 1960
7,36A,Associative same as additive plural,The Associative Plural,Uzbek,,,Kononov 1960
8,46A,Interrogative-based,Indefinite Pronouns,Uzbek,,,Reshetov 1966
9,51A,Case suffixes,Position of Case Affixes,Uzbek,,,Sjoberg 1963
10,52A,Mixed,Comitatives and Instrumentals,Uzbek,,,Sjoberg 1963
11,53A,"One-th, two-th, three-th",Ordinal Numerals,Uzbek,,,Boeschoten 1998
12,56A,"Formally similar, without interrogative",Conjunctions and Universal Quantifiers,Uzbek,,,Sjoberg 1963
13,57A,Possessive suffixes,Position of Pronominal Possessive Affixes,Uzbek,,,Sjoberg 1963
14,63A,'And' different from 'with',Noun Phrase Conjunction,Uzbek,,,Sjoberg 1963
15,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Uzbek,,,Sjoberg 1963
16,70A,Second singular and second plural,The Morphological Imperative,Uzbek,,,Raun 1969
17,71A,Normal imperative + normal negative,The Prohibitive,Uzbek,,,Raun 1969
18,72A,Maximal system,Imperative-Hortative Systems,Uzbek,,,Raun 1969
19,74A,Affixes on verbs,Situational Possibility,Uzbek,,,Raun 1969
20,75A,Other,Epistemic Possibility,Uzbek,,,Boeschoten 1998
21,76A,No overlap,Overlap between Situational and Epistemic Modal Marking,Uzbek,,,Raun 1969
22,81A,SOV,"Order of Subject, Object and Verb",Uzbek,,,Sjoberg 1963
23,82A,SV,Order of Subject and Verb,Uzbek,,,Sjoberg 1963
24,83A,OV,Order of Object and Verb,Uzbek,,,Sjoberg 1963
25,86A,Genitive-Noun,Order of Genitive and Noun,Uzbek,,,Sjoberg 1963
26,87A,Adjective-Noun,Order of Adjective and Noun,Uzbek,,,Sjoberg 1963
