,ID,Name,Parameter,Language,Frequency,Confidence,References
0,14A,Initial,Fixed Stress Locations,Votic,,,Ariste 1968
1,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Votic,,,Ariste 1968
2,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Votic,,,Ariste 1968
3,17A,Trochaic,Rhythm Types,Votic,,,Ariste 1968
4,52A,Mixed,Comitatives and Instrumentals,Votic,,,Laanest 1982
5,53A,"First, second, three-th",Ordinal Numerals,Votic,,,Laanest 1982
6,70A,Second singular and second plural,The Morphological Imperative,Votic,,,Ariste 1968
7,71A,Special imperative + normal negative,The Prohibitive,Votic,,,Ariste 1968
8,72A,Maximal system,Imperative-Hortative Systems,Votic,,,Ariste 1997
9,74A,Verbal constructions,Situational Possibility,Votic,,,Ariste 1997
10,75A,Affixes on verbs,Epistemic Possibility,Votic,,,Ariste 1997
11,76A,No overlap,Overlap between Situational and Epistemic Modal Marking,Votic,,,Ariste 1997
12,85A,No dominant order,Order of Adposition and Noun Phrase,Votic,,,Ariste 1968
13,95A,Other,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Votic,,,
14,118A,Nonverbal encoding,Predicative Adjectives,Votic,,,Ariste 1968
15,119A,Identical,Nominal and Locational Predication,Votic,,,Ariste 1968
16,120A,Impossible,Zero Copula for Predicate Nominals,Votic,,,Ariste 1968
