,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately small,Consonant Inventories,Wahgi,,,Ladefoged et al. 1977
1,2A,Average (5-6),Vowel Quality Inventories,Wahgi,,,Ladefoged et al. 1977
2,3A,Average,Consonant-Vowel Ratio,Wahgi,,,Ladefoged et al. 1977
3,4A,No voicing contrast,Voicing in Plosives and Fricatives,Wahgi,,,Ladefoged et al. 1977
4,5A,Other,Voicing and Gaps in Plosive Systems,Wahgi,,,Ladefoged et al. 1977
5,6A,None,Uvular Consonants,Wahgi,,,Ladefoged et al. 1977
6,7A,No glottalized consonants,Glottalized Consonants,Wahgi,,,Ladefoged et al. 1977
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Wahgi,,,Ladefoged et al. 1977
8,11A,None,Front Rounded Vowels,Wahgi,,,Ladefoged et al. 1977
9,12A,Moderately complex,Syllable Structure,Wahgi,,,Ladefoged et al. 1977
10,13A,Simple tone system,Tone,Wahgi,,,Ladefoged et al. 1977
11,14A,Ultimate,Fixed Stress Locations,Wahgi,,,Phillips 1976
12,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Wahgi,,,Phillips 1976
13,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Wahgi,,,Phillips 1976
14,17A,Iambic,Rhythm Types,Wahgi,,,Phillips 1976
15,18A,No fricatives,Absence of Common Consonants,Wahgi,,,Ladefoged et al. 1977
16,19A,None,Presence of Uncommon Consonants,Wahgi,,,Ladefoged et al. 1977
17,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Wahgi,,,Luzbetak 1954
18,33A,No plural,Coding of Nominal Plurality,Wahgi,,,Luzbetak 1954
19,37A,"No definite, but indefinite article",Definite Articles,Wahgi,,,Luzbetak 1954
20,38A,Indefinite word distinct from 'one',Indefinite Articles,Wahgi,,,Luzbetak 1954
21,51A,Case suffixes,Position of Case Affixes,Wahgi,,,Luzbetak 1954
22,57A,Possessive suffixes,Position of Pronominal Possessive Affixes,Wahgi,,,Luzbetak 1954
23,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Wahgi,,,Luzbetak 1954
24,81A,SOV,"Order of Subject, Object and Verb",Wahgi,,,Luzbetak 1954
25,82A,SV,Order of Subject and Verb,Wahgi,,,Luzbetak 1954
26,83A,OV,Order of Object and Verb,Wahgi,,,Luzbetak 1954
27,84A,XOV,"Order of Object, Oblique, and Verb",Wahgi,,,Luzbetak 1954
28,85A,Postpositions,Order of Adposition and Noun Phrase,Wahgi,,,Luzbetak 1954
29,86A,Genitive-Noun,Order of Genitive and Noun,Wahgi,,,Luzbetak 1954
30,87A,Noun-Adjective,Order of Adjective and Noun,Wahgi,,,Luzbetak 1954
31,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Wahgi,,,Luzbetak 1954
32,89A,Noun-Numeral,Order of Numeral and Noun,Wahgi,,,Luzbetak 1954
33,90A,Noun-Relative clause,Order of Relative Clause and Noun,Wahgi,,,Luzbetak 1954
34,90C,Noun-Relative clause (NRel) dominant,Postnominal relative clauses,Wahgi,,,Luzbetak 1954
35,92A,Final,Position of Polar Question Particles,Wahgi,,,Luzbetak 1954
36,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Wahgi,,,Luzbetak 1954
37,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Wahgi,,,
38,96A,OV and NRel,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Wahgi,,,
39,97A,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Wahgi,,,
40,116A,Question particle,Polar Questions,Wahgi,,,Luzbetak 1954
41,143A,NegV,Order of Negative Morpheme and Verb,Wahgi,,,Luzbetak 1954
42,143E,NegV,Preverbal Negative Morphemes,Wahgi,,,Luzbetak 1954
43,143F,None,Postverbal Negative Morphemes,Wahgi,,,Luzbetak 1954
44,143G,None,Minor morphological means of signaling negation,Wahgi,,,Luzbetak 1954
45,144A,Other,"Position of Negative Word With Respect to Subject, Object, and Verb",Wahgi,,,Luzbetak 1954
46,144L,Other NegV,The Position of Negative Morphemes in SOV Languages,Wahgi,,,Luzbetak 1954
47,144S,NoSOVNeg,SOVNeg Order,Wahgi,,,Luzbetak 1954
