,ID,Name,Parameter,Language,Frequency,Confidence,References
0,54A,Marked by following word,Distributive Numerals,Wai Wai,,,Hawkins 1998
1,62A,Ergative-Possessive,Action Nominal Constructions,Wai Wai,,,Hawkins 1991
2,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Wai Wai,,,Hawkins 1998
3,72A,Maximal system,Imperative-Hortative Systems,Wai Wai,,,Hawkins 1998
4,77A,Indirect only,Semantic Distinctions of Evidentiality,Wai Wai,,,Hawkins 1998
5,78A,Separate particle,Coding of Evidentiality,Wai Wai,,,Hawkins 1998
6,81A,No dominant order,"Order of Subject, Object and Verb",Wai Wai,,,Hawkins 1998
7,82A,No dominant order,Order of Subject and Verb,Wai Wai,,,Hawkins 1998
8,83A,OV,Order of Object and Verb,Wai Wai,,,Hawkins 1998
9,85A,Postpositions,Order of Adposition and Noun Phrase,Wai Wai,,,Hawkins 1998
10,86A,Genitive-Noun,Order of Genitive and Noun,Wai Wai,,,Hawkins 1998
11,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Wai Wai,,,
12,101A,Subject affixes on verb,Expression of Pronominal Subjects,Wai Wai,,,Hawkins 1998
13,112A,Negative affix,Negative Morphemes,Wai Wai,,,Hawkins 1998
14,143A,[V-Neg],Order of Negative Morpheme and Verb,Wai Wai,,,Hawkins 1998
15,143E,None,Preverbal Negative Morphemes,Wai Wai,,,Hawkins 1998
16,143F,[V-Neg],Postverbal Negative Morphemes,Wai Wai,,,Hawkins 1998
17,143G,None,Minor morphological means of signaling negation,Wai Wai,,,Hawkins 1998
