,ID,Name,Parameter,Language,Frequency,Confidence,References
0,33A,Plural word,Coding of Nominal Plurality,Wambule,,,Opgenort 2004
1,38A,Indefinite word same as 'one',Indefinite Articles,Wambule,,,Opgenort 2004
2,51A,Postpositional clitics,Position of Case Affixes,Wambule,,,Opgenort 2004
3,81A,SOV,"Order of Subject, Object and Verb",Wambule,,,Opgenort 2004
4,82A,SV,Order of Subject and Verb,Wambule,,,Opgenort 2004
5,83A,OV,Order of Object and Verb,Wambule,,,Opgenort 2004
6,85A,Postpositions,Order of Adposition and Noun Phrase,Wambule,,,Opgenort 2004
7,86A,Genitive-Noun,Order of Genitive and Noun,Wambule,,,Opgenort 2004
8,87A,Adjective-Noun,Order of Adjective and Noun,Wambule,,,Opgenort 2004
9,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Wambule,,,Opgenort 2004
10,89A,Numeral-Noun,Order of Numeral and Noun,Wambule,,,Opgenort 2004
11,91A,Degree word-Adjective,Order of Degree Word and Adjective,Wambule,,,Opgenort 2004
12,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Wambule,,,Opgenort 2004
13,94A,Initial subordinator word,Order of Adverbial Subordinator and Clause,Wambule,,,Opgenort 2004
14,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Wambule,,,
15,97A,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Wambule,,,
16,112A,Negative affix,Negative Morphemes,Wambule,,,Opgenort 2004
17,143A,[Neg-V],Order of Negative Morpheme and Verb,Wambule,,,Opgenort 2004
18,143E,[Neg-V],Preverbal Negative Morphemes,Wambule,,,Opgenort 2004
19,143F,None,Postverbal Negative Morphemes,Wambule,,,Opgenort 2004
20,143G,None,Minor morphological means of signaling negation,Wambule,,,Opgenort 2004
21,144A,MorphNeg,"Position of Negative Word With Respect to Subject, Object, and Verb",Wambule,,,Opgenort 2004
22,144L,SO[Neg-V],The Position of Negative Morphemes in SOV Languages,Wambule,,,Opgenort 2004
23,144P,No NegSOV,NegSOV Order,Wambule,,,Opgenort 2004
24,144Q,No SNegOV,SNegOV Order,Wambule,,,Opgenort 2004
25,144R,Prefix&NoDoubleNeg,SONegV Order,Wambule,,,Opgenort 2004
26,144S,NoSOVNeg,SOVNeg Order,Wambule,,,Opgenort 2004
