,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately small,Consonant Inventories,Wantoat,,,Davis 1969
1,2A,Large (7-14),Vowel Quality Inventories,Wantoat,,,Davis 1969
2,3A,Moderately low,Consonant-Vowel Ratio,Wantoat,,,Davis 1969
3,4A,No voicing contrast,Voicing in Plosives and Fricatives,Wantoat,,,Davis 1969
4,5A,Other,Voicing and Gaps in Plosive Systems,Wantoat,,,Davis 1969
5,6A,None,Uvular Consonants,Wantoat,,,Davis 1969
6,7A,No glottalized consonants,Glottalized Consonants,Wantoat,,,Davis 1969
7,8A,No laterals,Lateral Consonants,Wantoat,,,Davis 1969
8,11A,None,Front Rounded Vowels,Wantoat,,,Davis 1969
9,12A,Moderately complex,Syllable Structure,Wantoat,,,Davis 1969
10,13A,No tones,Tone,Wantoat,,,Davis 1969
11,18A,All present,Absence of Common Consonants,Wantoat,,,Davis 1969
12,19A,None,Presence of Uncommon Consonants,Wantoat,,,Davis 1969
