,ID,Name,Parameter,Language,Frequency,Confidence,References
0,2A,Average (5-6),Vowel Quality Inventories,Waorani,,,Saint and Pike 1962
1,3A,Moderately low,Consonant-Vowel Ratio,Waorani,,,Saint and Pike 1962
2,4A,In plosives alone,Voicing in Plosives and Fricatives,Waorani,,,Saint and Pike 1962
3,5A,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Waorani,,,Saint and Pike 1962
4,6A,None,Uvular Consonants,Waorani,,,Saint and Pike 1962
5,7A,No glottalized consonants,Glottalized Consonants,Waorani,,,Saint and Pike 1962
6,8A,No laterals,Lateral Consonants,Waorani,,,Saint and Pike 1962
7,11A,None,Front Rounded Vowels,Waorani,,,Saint and Pike 1962
8,12A,Simple,Syllable Structure,Waorani,,,Saint and Pike 1962
9,13A,No tones,Tone,Waorani,,,Saint and Pike 1962
10,14A,Initial,Fixed Stress Locations,Waorani,,,Pike 1964
11,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Waorani,,,Pike 1964
12,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Waorani,,,Pike 1964
13,17A,Trochaic,Rhythm Types,Waorani,,,Pike 1964
14,18A,No fricatives,Absence of Common Consonants,Waorani,,,Saint and Pike 1962
15,19A,None,Presence of Uncommon Consonants,Waorani,,,Saint and Pike 1962
16,23A,No marking,Locus of Marking in the Clause,Waorani,,,Peeke 1973
17,24A,No marking,Locus of Marking in Possessive Noun Phrases,Waorani,,,Peeke 1973
18,25A,Inconsistent or other,Locus of Marking: Whole-language Typology,Waorani,,,Peeke 1973
19,25B,Non-zero marking,Zero Marking of A and P Arguments,Waorani,,,Peeke 1973
20,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Waorani,,,Peeke 1973
21,33A,Plural suffix,Coding of Nominal Plurality,Waorani,,,Peeke 1979
22,44A,"3rd person only, but also non-singular",Gender Distinctions in Independent Personal Pronouns,Waorani,,,Peeke 1973
23,48A,No person marking,Person Marking on Adpositions,Waorani,,,Wilkendorf 1988
24,55A,Obligatory,Numeral Classifiers,Waorani,,,Nichols 1992
25,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Waorani,,,Peeke 1973
26,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Waorani,,,Peeke 1973
