,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately small,Consonant Inventories,Wapishana,,,Tracy 1972
1,2A,Small (2-4),Vowel Quality Inventories,Wapishana,,,Tracy 1972
2,3A,Average,Consonant-Vowel Ratio,Wapishana,,,Tracy 1972
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Wapishana,,,Tracy 1972
4,5A,Other,Voicing and Gaps in Plosive Systems,Wapishana,,,Tracy 1972
5,6A,None,Uvular Consonants,Wapishana,,,Tracy 1972
6,7A,Implosives only,Glottalized Consonants,Wapishana,,,Tracy 1972
7,8A,No laterals,Lateral Consonants,Wapishana,,,Tracy 1972
8,11A,None,Front Rounded Vowels,Wapishana,,,Tracy 1972
9,12A,Moderately complex,Syllable Structure,Wapishana,,,Tracy 1972
10,13A,No tones,Tone,Wapishana,,,Tracy 1972
11,18A,All present,Absence of Common Consonants,Wapishana,,,Tracy 1972
12,19A,None,Presence of Uncommon Consonants,Wapishana,,,Tracy 1972
