,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Small,Consonant Inventories,Warao,,,Osborn 1966
1,2A,Average (5-6),Vowel Quality Inventories,Warao,,,Osborn 1966
2,3A,Moderately low,Consonant-Vowel Ratio,Warao,,,Osborn 1966
3,4A,No voicing contrast,Voicing in Plosives and Fricatives,Warao,,,Osborn 1966
4,5A,Other,Voicing and Gaps in Plosive Systems,Warao,,,Osborn 1966
5,6A,None,Uvular Consonants,Warao,,,Osborn 1966
6,7A,No glottalized consonants,Glottalized Consonants,Warao,,,Osborn 1966
7,8A,"Laterals, but no /l/, no obstruent laterals",Lateral Consonants,Warao,,,Osborn 1966
8,9A,No velar nasal,The Velar Nasal,Warao,,,Romero-Figueroa 1997
9,10A,Contrast present,Vowel Nasalization,Warao,,,Osborn 1966
10,11A,None,Front Rounded Vowels,Warao,,,Osborn 1966
11,12A,Simple,Syllable Structure,Warao,,,Osborn 1966
12,13A,No tones,Tone,Warao,,,Osborn 1966
13,14A,Penultimate,Fixed Stress Locations,Warao,,,Osborn 1966
14,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Warao,,,Osborn 1966
15,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Warao,,,Osborn 1966
16,17A,Trochaic,Rhythm Types,Warao,,,Osborn 1966
17,18A,All present,Absence of Common Consonants,Warao,,,Osborn 1966
18,19A,None,Presence of Uncommon Consonants,Warao,,,Osborn 1966
19,20A,Isolating/concatenative,Fusion of Selected Inflectional Formatives,Warao,,,Romero-Figueroa 1997
20,21A,Monoexponential case,Exponence of Selected Inflectional Formatives,Warao,,,Romero-Figueroa 1997
21,21B,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Warao,,,Romero-Figueroa 1997
22,22A,4-5 categories per word,Inflectional Synthesis of the Verb,Warao,,,Romero-Figueroa 1997
23,23A,Dependent marking,Locus of Marking in the Clause,Warao,,,Romero-Figueroa 1997
24,24A,Other,Locus of Marking in Possessive Noun Phrases,Warao,,,Romero-Figueroa 1997
25,25A,Inconsistent or other,Locus of Marking: Whole-language Typology,Warao,,,Romero-Figueroa 1997
26,25B,Non-zero marking,Zero Marking of A and P Arguments,Warao,,,Romero-Figueroa 1997
27,26A,Weakly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Warao,,,Romero-Figueroa 1997
28,28A,Core cases only,Case Syncretism,Warao,,,Romero-Figueroa 1997
29,29A,No subject person/number marking,Syncretism in Verbal Person/Number Marking,Warao,,,Romero-Figueroa 1997
30,30A,None,Number of Genders,Warao,,,Romero-Figueroa 1997
31,31A,No gender,Sex-based and Non-sex-based Gender Systems,Warao,,,Romero-Figueroa 1997
32,32A,No gender,Systems of Gender Assignment,Warao,,,Romero-Figueroa 1997
33,33A,Plural suffix,Coding of Nominal Plurality,Warao,,,Romero-Figueroa 1997
34,35A,Person-number stem,Plurality in Independent Personal Pronouns,Warao,,,Romero-Figueroa 1997
35,39A,No inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Warao,,,Romero-Figueroa 1997
36,40A,No person marking,Inclusive/Exclusive Distinction in Verbal Inflection,Warao,,,Romero-Figueroa 1997
37,41A,Three-way contrast,Distance Contrasts in Demonstratives,Warao,,,Romero-Figueroa 1997
38,42A,Different stem,Pronominal and Adnominal Demonstratives,Warao,,,Romero-Figueroa 1997
39,43A,Related to non-remote demonstratives,Third Person Pronouns and Demonstratives,Warao,,,Romero-Figueroa 1997
40,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Warao,,,Romero-Figueroa 1997
41,45A,No politeness distinction,Politeness Distinctions in Pronouns,Warao,,,Romero-Figueroa 1997
42,46A,Mixed,Indefinite Pronouns,Warao,,,Romero-Figueroa 1997
43,47A,Identical,Intensifiers and Reflexive Pronouns,Warao,,,Romero-Figueroa 1997
44,48A,No person marking,Person Marking on Adpositions,Warao,,,Romero-Figueroa 1997
45,49A,5 cases,Number of Cases,Warao,,,Romero-Figueroa 1997
46,50A,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Warao,,,Romero-Figueroa 1997
47,52A,Differentiation,Comitatives and Instrumentals,Warao,,,Vaquero 1965
48,53A,"First, two, three",Ordinal Numerals,Warao,,,Vaquero 1965
49,54A,No distributive numerals,Distributive Numerals,Warao,,,Romero-Figueroa 1997
50,57A,Possessive prefixes,Position of Pronominal Possessive Affixes,Warao,,,Romero-Figueroa 1997
51,58A,Absent,Obligatory Possessive Inflection,Warao,,,Romero-Figueroa 1997
52,58B,None reported,Number of Possessive Nouns,Warao,,,Romero-Figueroa 1997
53,59A,No possessive classification,Possessive Classification,Warao,,,Romero-Figueroa 1997
54,60A,Highly differentiated,"Genitives, Adjectives and Relative Clauses",Warao,,,Romero-Figueroa 1997
55,62A,Other,Action Nominal Constructions,Warao,,,
