,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately small,Consonant Inventories,Wardaman,,,Merlan 1994
1,2A,Average (5-6),Vowel Quality Inventories,Wardaman,,,Merlan 1994
2,3A,Average,Consonant-Vowel Ratio,Wardaman,,,Merlan 1994
3,4A,No voicing contrast,Voicing in Plosives and Fricatives,Wardaman,,,Merlan 1994
4,5A,Other,Voicing and Gaps in Plosive Systems,Wardaman,,,Merlan 1994
5,6A,None,Uvular Consonants,Wardaman,,,Merlan 1994
6,7A,No glottalized consonants,Glottalized Consonants,Wardaman,,,Merlan 1994
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Wardaman,,,Merlan 1994
8,9A,Initial velar nasal,The Velar Nasal,Wardaman,,,Merlan 1994
9,10A,Contrast absent,Vowel Nasalization,Wardaman,,,Merlan 1994
10,11A,None,Front Rounded Vowels,Wardaman,,,Merlan 1994
11,12A,Complex,Syllable Structure,Wardaman,,,Merlan 1994
12,13A,No tones,Tone,Wardaman,,,Merlan 1994
13,14A,Penultimate,Fixed Stress Locations,Wardaman,,,Merlan 1994
14,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Wardaman,,,Merlan 1994
15,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Wardaman,,,Merlan 1994
16,17A,Trochaic,Rhythm Types,Wardaman,,,Merlan 1994
17,18A,No fricatives,Absence of Common Consonants,Wardaman,,,Merlan 1994
18,19A,None,Presence of Uncommon Consonants,Wardaman,,,Merlan 1994
19,20A,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Wardaman,,,Merlan 1994
20,21A,Monoexponential case,Exponence of Selected Inflectional Formatives,Wardaman,,,Merlan 1994
21,21B,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Wardaman,,,Merlan 1994
22,26A,Equal prefixing and suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Wardaman,,,Merlan 1994
23,27A,Productive full and partial reduplication,Reduplication,Wardaman,,,Merlan 1994
24,28A,No syncretism,Case Syncretism,Wardaman,,,Merlan 1994
25,29A,Not syncretic,Syncretism in Verbal Person/Number Marking,Wardaman,,,Merlan 1994
26,30A,Three,Number of Genders,Wardaman,,,Merlan 1994
27,31A,Non-sex-based,Sex-based and Non-sex-based Gender Systems,Wardaman,,,Merlan 1994
28,32A,Semantic,Systems of Gender Assignment,Wardaman,,,Merlan 1994
29,33A,Plural suffix,Coding of Nominal Plurality,Wardaman,,,Merlan 1994
30,34A,"All nouns, always optional",Occurrence of Nominal Plurality,Wardaman,,,Merlan 1994
31,35A,Person-number stem + nominal plural affix,Plurality in Independent Personal Pronouns,Wardaman,,,Merlan 1994
32,36A,Unique affixal associative plural,The Associative Plural,Wardaman,,,Merlan 1994
33,37A,Definite affix,Definite Articles,Wardaman,,,Merlan 1994
34,39A,Inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Wardaman,,,Merlan 1994
35,40A,Inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,Wardaman,,,Merlan 1994
36,41A,Three-way contrast,Distance Contrasts in Demonstratives,Wardaman,,,Merlan 1994
37,42A,Identical,Pronominal and Adnominal Demonstratives,Wardaman,,,Merlan 1994
38,43A,Related for all demonstratives,Third Person Pronouns and Demonstratives,Wardaman,,,Merlan 1994
39,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Wardaman,,,Merlan 1994
40,46A,Interrogative-based,Indefinite Pronouns,Wardaman,,,Merlan 1994
41,48A,No adpositions,Person Marking on Adpositions,Wardaman,,,Merlan 1994
42,49A,8-9 cases,Number of Cases,Wardaman,,,Merlan 1994
43,50A,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Wardaman,,,Merlan 1994
44,51A,Case suffixes,Position of Case Affixes,Wardaman,,,Merlan 1994
45,53A,None,Ordinal Numerals,Wardaman,,,Merlan 1994
46,64A,Differentiation,Nominal and Verbal Conjunction,Wardaman,,,Merlan 1994
47,70A,Second singular and second plural,The Morphological Imperative,Wardaman,,,Merlan 1994
48,71A,Special imperative + normal negative,The Prohibitive,Wardaman,,,Merlan 1994
49,73A,Inflectional optative absent,The Optative,Wardaman,,,Merlan 1994
50,75A,Affixes on verbs,Epistemic Possibility,Wardaman,,,Merlan 1994
51,77A,No grammatical evidentials,Semantic Distinctions of Evidentiality,Wardaman,,,Merlan 1994
52,78A,No grammatical evidentials,Coding of Evidentiality,Wardaman,,,Merlan 1994
53,81A,No dominant order,"Order of Subject, Object and Verb",Wardaman,,,Merlan 1994
54,82A,No dominant order,Order of Subject and Verb,Wardaman,,,Merlan 1994
