,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Weakly prefixing,Prefixing vs. Suffixing in Inflectional Morphology,Warrwa,,,McGregor 1994
1,33A,Plural clitic,Coding of Nominal Plurality,Warrwa,,,McGregor 1994
2,37A,Definite word distinct from demonstrative,Definite Articles,Warrwa,,,McGregor 1994
3,51A,Inpositional clitics,Position of Case Affixes,Warrwa,,,McGregor 1994
4,52A,Differentiation,Comitatives and Instrumentals,Warrwa,,,McGregor 1994
5,57A,Possessive prefixes,Position of Pronominal Possessive Affixes,Warrwa,,,McGregor 1994
6,69A,Mixed type,Position of Tense-Aspect Affixes,Warrwa,,,McGregor 1994
7,81A,No dominant order,"Order of Subject, Object and Verb",Warrwa,,,McGregor 1994
8,82A,No dominant order,Order of Subject and Verb,Warrwa,,,McGregor 1994
9,83A,No dominant order,Order of Object and Verb,Warrwa,,,McGregor 1994
10,84A,No dominant order,"Order of Object, Oblique, and Verb",Warrwa,,,McGregor 1994
11,85A,Inpositions,Order of Adposition and Noun Phrase,Warrwa,,,McGregor 1994
12,86A,Genitive-Noun,Order of Genitive and Noun,Warrwa,,,McGregor 1994
13,87A,Adjective-Noun,Order of Adjective and Noun,Warrwa,,,McGregor 1994
14,88A,Mixed,Order of Demonstrative and Noun,Warrwa,,,McGregor 1994
15,89A,Numeral-Noun,Order of Numeral and Noun,Warrwa,,,McGregor 1994
16,95A,Other,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Warrwa,,,
17,96A,Other,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Warrwa,,,
18,97A,Other,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Warrwa,,,
19,101A,Subject affixes on verb,Expression of Pronominal Subjects,Warrwa,,,McGregor 1994
