,ID,Name,Parameter,Language,Frequency,Confidence,References
0,51A,Case suffixes,Position of Case Affixes,Wathawurrung,,,Blake et al. 1998a
1,57A,Possessive suffixes,Position of Pronominal Possessive Affixes,Wathawurrung,,,Blake et al. 1998a
2,70A,Second person number-neutral,The Morphological Imperative,Wathawurrung,,,Blake et al. 1998a
3,71A,Special imperative + normal negative,The Prohibitive,Wathawurrung,,,Blake et al. 1998a
4,81A,VOS,"Order of Subject, Object and Verb",Wathawurrung,,,Blake et al. 1998a
5,82A,VS,Order of Subject and Verb,Wathawurrung,,,Blake et al. 1998a
6,83A,VO,Order of Object and Verb,Wathawurrung,,,Blake et al. 1998a
7,87A,Noun-Adjective,Order of Adjective and Noun,Wathawurrung,,,Blake et al. 1998a
8,92A,Initial,Position of Polar Question Particles,Wathawurrung,,,Blake et al. 1998a
9,97A,VO and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Wathawurrung,,,
10,101A,Subject clitics on variable host,Expression of Pronominal Subjects,Wathawurrung,,,Blake et al. 1998a
11,116A,Question particle,Polar Questions,Wathawurrung,,,Blake et al. 1998a
12,129A,Different,Hand and Arm,Wathawurrung,,,Blake et al. 1998a
13,130A,Different,Finger and Hand,Wathawurrung,,,Blake et al. 1998a
