,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Watjarri,,,Douglas 1981
1,27A,Productive full and partial reduplication,Reduplication,Watjarri,,,Fabricius 1998
2,30A,None,Number of Genders,Watjarri,,,Douglas 1981
3,31A,No gender,Sex-based and Non-sex-based Gender Systems,Watjarri,,,Douglas 1981
4,32A,No gender,Systems of Gender Assignment,Watjarri,,,Douglas 1981
5,35A,Person-number stem,Plurality in Independent Personal Pronouns,Watjarri,,,Douglas 1981
6,39B,Inclusive and exclusive differentiated,Inclusive/Exclusive Forms in Pama-Nyungan,Watjarri,,,
7,41A,Three-way contrast,Distance Contrasts in Demonstratives,Watjarri,,,Douglas 1981
8,42A,Identical,Pronominal and Adnominal Demonstratives,Watjarri,,,Douglas 1981
9,51A,Postpositional clitics,Position of Case Affixes,Watjarri,,,Douglas 1981
10,57A,Possessive suffixes,Position of Pronominal Possessive Affixes,Watjarri,,,Douglas 1981
11,61A,Without marking,Adjectives without Nouns,Watjarri,,,Douglas 1981
12,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Watjarri,,,Douglas 1981
13,70A,Second person number-neutral,The Morphological Imperative,Watjarri,,,Douglas 1981
14,77A,No grammatical evidentials,Semantic Distinctions of Evidentiality,Watjarri,,,Douglas 1981
15,78A,No grammatical evidentials,Coding of Evidentiality,Watjarri,,,Douglas 1981
16,85A,Postpositions,Order of Adposition and Noun Phrase,Watjarri,,,Douglas 1981
17,86A,Genitive-Noun,Order of Genitive and Noun,Watjarri,,,Douglas 1981
18,87A,Noun-Adjective,Order of Adjective and Noun,Watjarri,,,Douglas 1981
19,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Watjarri,,,Douglas 1981
20,89A,No dominant order,Order of Numeral and Noun,Watjarri,,,Douglas 1981
21,91A,Degree word-Adjective,Order of Degree Word and Adjective,Watjarri,,,Douglas 1981
22,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Watjarri,,,Douglas 1981
23,101A,Subject clitics on variable host,Expression of Pronominal Subjects,Watjarri,,,Douglas 1981
24,111A,Morphological but no compound,Nonperiphrastic Causative Constructions,Watjarri,,,Douglas 1981
25,112A,Variation between negative word and affix,Negative Morphemes,Watjarri,,,Douglas 1981
26,129A,Different,Hand and Arm,Watjarri,,,Douglas 1981
27,143A,Type 1 / Type 4,Order of Negative Morpheme and Verb,Watjarri,,,Douglas 1981
28,143E,NegV,Preverbal Negative Morphemes,Watjarri,,,Douglas 1981
29,143F,[V-Neg],Postverbal Negative Morphemes,Watjarri,,,Douglas 1981
30,143G,None,Minor morphological means of signaling negation,Watjarri,,,Douglas 1981
