,ID,Name,Parameter,Language,Frequency,Confidence,References
0,14A,Penultimate,Fixed Stress Locations,Welsh,,,Ball 1993
1,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Welsh,,,Ball 1993
2,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Welsh,,,Ball 1993
3,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Welsh,,,Jones and Thomas 1977
4,27A,No productive reduplication,Reduplication,Welsh,,,Kibre 2001
5,33A,Plural suffix,Coding of Nominal Plurality,Welsh,,,Williams 1980b
6,37A,Definite word distinct from demonstrative,Definite Articles,Welsh,,,Jones and Thomas 1977
7,38A,"No indefinite, but definite article",Indefinite Articles,Welsh,,,Jones and Thomas 1977
8,41A,Two-way contrast,Distance Contrasts in Demonstratives,Welsh,,,King 1993a
9,42A,Different stem,Pronominal and Adnominal Demonstratives,Welsh,,,King 1993a
10,44A,3rd person singular only,Gender Distinctions in Independent Personal Pronouns,Welsh,,,King 1993a
11,45A,Binary politeness distinction,Politeness Distinctions in Pronouns,Welsh,,,Thorne 1993
12,47A,Identical,Intensifiers and Reflexive Pronouns,Welsh,,,King 1993a
13,48A,Pronouns only,Person Marking on Adpositions,Welsh,,,King 1993a
14,49A,No morphological case-marking,Number of Cases,Welsh,,,King 1993a
15,50A,No case-marking,Asymmetrical Case-Marking,Welsh,,,King 1993a
16,51A,No case affixes or adpositional clitics,Position of Case Affixes,Welsh,,,Williams 1980b
17,52A,Mixed,Comitatives and Instrumentals,Welsh,,,Williams 1980b
18,53A,"First, second, three-th",Ordinal Numerals,Welsh,,,Williams 1980b
19,62A,Ergative-Possessive,Action Nominal Constructions,Welsh,,,Comrie and Thompson 1985
20,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Welsh,,,Williams 1980b
21,70A,Second singular and second plural,The Morphological Imperative,Welsh,,,King 1993a
22,71A,Normal imperative + special negative,The Prohibitive,Welsh,,,King 1993a
23,72A,Neither type of system,Imperative-Hortative Systems,Welsh,,,King 1993a
24,74A,Verbal constructions,Situational Possibility,Welsh,,,King 1993a
25,75A,Other,Epistemic Possibility,Welsh,,,Fife 1990
26,76A,Overlap for either possibility or necessity,Overlap between Situational and Epistemic Modal Marking,Welsh,,,King 1993a
27,81A,VSO,"Order of Subject, Object and Verb",Welsh,,,Williams 1980b
28,82A,VS,Order of Subject and Verb,Welsh,,,Williams 1980b
29,83A,VO,Order of Object and Verb,Welsh,,,Williams 1980b
30,84A,VOX,"Order of Object, Oblique, and Verb",Welsh,,,Williams 1980b
31,85A,Prepositions,Order of Adposition and Noun Phrase,Welsh,,,Williams 1980b
32,86A,Noun-Genitive,Order of Genitive and Noun,Welsh,,,Jones and Thomas 1977
33,87A,Noun-Adjective,Order of Adjective and Noun,Welsh,,,Jones and Thomas 1977
