,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Average,Consonant Inventories,Wichita,,,Rood 1976
1,2A,Small (2-4),Vowel Quality Inventories,Wichita,,,Rood 1976
2,3A,Average,Consonant-Vowel Ratio,Wichita,,,Rood 1976
3,4A,No voicing contrast,Voicing in Plosives and Fricatives,Wichita,,,Rood 1976
4,5A,Other,Voicing and Gaps in Plosive Systems,Wichita,,,Rood 1976
5,6A,None,Uvular Consonants,Wichita,,,Rood 1976
6,7A,Ejectives and glottalized resonants,Glottalized Consonants,Wichita,,,Rood 1976
7,8A,No laterals,Lateral Consonants,Wichita,,,Rood 1976
8,9A,No velar nasal,The Velar Nasal,Wichita,,,Rood 1976
9,10A,Contrast absent,Vowel Nasalization,Wichita,,,Rood 1996
10,11A,None,Front Rounded Vowels,Wichita,,,Rood 1976
11,13A,No tones,Tone,Wichita,,,Rood 1976
12,14A,No fixed stress,Fixed Stress Locations,Wichita,,,Rood 1996
13,15A,Unbounded: Stress can be anywhere,Weight-Sensitive Stress,Wichita,,,Rood 1996
14,16A,Prominence,Weight Factors in Weight-Sensitive Stress Systems,Wichita,,,Rood 1996
15,17A,Dual: both trochaic and iambic,Rhythm Types,Wichita,,,Rood 1996
16,18A,No bilabials,Absence of Common Consonants,Wichita,,,Rood 1976
17,19A,None,Presence of Uncommon Consonants,Wichita,,,Rood 1976
18,20A,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Wichita,,,Rood 1976
19,21A,Monoexponential case,Exponence of Selected Inflectional Formatives,Wichita,,,Rood 1976
20,21B,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Wichita,,,Rood 1976
21,22A,12-13 categories per word,Inflectional Synthesis of the Verb,Wichita,,,Rood 1976
22,23A,Head marking,Locus of Marking in the Clause,Wichita,,,Rood 1976
23,24A,Head marking,Locus of Marking in Possessive Noun Phrases,Wichita,,,Rood 1976
24,25A,Head-marking,Locus of Marking: Whole-language Typology,Wichita,,,Rood 1976
25,25B,Non-zero marking,Zero Marking of A and P Arguments,Wichita,,,Rood 1976
26,26A,Weakly prefixing,Prefixing vs. Suffixing in Inflectional Morphology,Wichita,,,Rood 1976
27,27A,No productive reduplication,Reduplication,Wichita,,,Rood 1976
28,28A,No case marking,Case Syncretism,Wichita,,,Rood 1996
29,29A,Not syncretic,Syncretism in Verbal Person/Number Marking,Wichita,,,Rood 1996
30,30A,None,Number of Genders,Wichita,,,Rood 1976
31,31A,No gender,Sex-based and Non-sex-based Gender Systems,Wichita,,,Rood 1976
32,32A,No gender,Systems of Gender Assignment,Wichita,,,Rood 1976
33,33A,No plural,Coding of Nominal Plurality,Wichita,,,Rood 1976
34,35A,Person-number affixes,Plurality in Independent Personal Pronouns,Wichita,,,Rood 1976
35,36A,No associative plural,The Associative Plural,Wichita,,,
