,ID,Name,Parameter,Language,Frequency,Confidence,References
0,9A,Initial velar nasal,The Velar Nasal,Wikchamni,,,Gamble 1978
1,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Wikchamni,,,Gamble 1978
2,27A,Productive full and partial reduplication,Reduplication,Wikchamni,,,Gamble 1978
3,33A,Plural suffix,Coding of Nominal Plurality,Wikchamni,,,Gamble 1978
4,37A,No definite or indefinite article,Definite Articles,Wikchamni,,,Gamble 1978
5,38A,No definite or indefinite article,Indefinite Articles,Wikchamni,,,Gamble 1978
6,43A,Unrelated,Third Person Pronouns and Demonstratives,Wikchamni,,,Gamble 1978
7,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Wikchamni,,,Gamble 1978
8,48A,No adpositions,Person Marking on Adpositions,Wikchamni,,,Gamble 1978
9,51A,Case suffixes,Position of Case Affixes,Wikchamni,,,Gamble 1978
10,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Wikchamni,,,Gamble 1978
11,62A,Possessive-Accusative,Action Nominal Constructions,Wikchamni,,,Gamble 1978
12,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Wikchamni,,,Gamble 1978
13,81A,No dominant order,"Order of Subject, Object and Verb",Wikchamni,,,Gamble 1978
14,82A,No dominant order,Order of Subject and Verb,Wikchamni,,,Gamble 1978
15,83A,No dominant order,Order of Object and Verb,Wikchamni,,,Gamble 1978
16,84A,No dominant order,"Order of Object, Oblique, and Verb",Wikchamni,,,Gamble 1978
17,86A,Genitive-Noun,Order of Genitive and Noun,Wikchamni,,,Gamble 1978
18,87A,Adjective-Noun,Order of Adjective and Noun,Wikchamni,,,Gamble 1978
19,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Wikchamni,,,Gamble 1978
20,92A,Initial,Position of Polar Question Particles,Wikchamni,,,Gamble 1978
21,94A,Initial subordinator word,Order of Adverbial Subordinator and Clause,Wikchamni,,,Gamble 1978
22,95A,Other,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Wikchamni,,,
23,96A,Other,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Wikchamni,,,
24,97A,Other,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Wikchamni,,,
25,100A,Neutral,Alignment of Verbal Person Marking,Wikchamni,,,Gamble 1978
26,102A,No person marking,Verbal Person Marking,Wikchamni,,,Gamble 1978
27,103A,No person marking,Third Person Zero of Verbal Person Marking,Wikchamni,,,Gamble 1978
28,104A,A and P do not or do not both occur on the verb,Order of Person Markers on the Verb,Wikchamni,,,Gamble 1978
29,107A,Present,Passive Constructions,Wikchamni,,,Mithun 1999
30,116A,Question particle,Polar Questions,Wikchamni,,,Gamble 1978
31,143A,NegV,Order of Negative Morpheme and Verb,Wikchamni,,,Gamble 1978
32,143E,NegV,Preverbal Negative Morphemes,Wikchamni,,,Gamble 1978
33,143F,None,Postverbal Negative Morphemes,Wikchamni,,,Gamble 1978
34,143G,None,Minor morphological means of signaling negation,Wikchamni,,,Gamble 1978
