,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately large,Consonant Inventories,Wintu,,,Pitkin 1984
1,2A,Average (5-6),Vowel Quality Inventories,Wintu,,,Pitkin 1984
2,3A,Moderately high,Consonant-Vowel Ratio,Wintu,,,Pitkin 1984
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Wintu,,,Pitkin 1984
4,5A,Missing /g/,Voicing and Gaps in Plosive Systems,Wintu,,,Pitkin 1984
5,6A,Uvular stops and continuants,Uvular Consonants,Wintu,,,Pitkin 1984
6,7A,Ejectives only,Glottalized Consonants,Wintu,,,Pitkin 1984
7,8A,/l/ and lateral obstruent,Lateral Consonants,Wintu,,,Pitkin 1984
8,9A,No velar nasal,The Velar Nasal,Wintu,,,Pitkin 1963
9,11A,None,Front Rounded Vowels,Wintu,,,Pitkin 1984
10,12A,Moderately complex,Syllable Structure,Wintu,,,Pitkin 1984
11,13A,No tones,Tone,Wintu,,,Pitkin 1984
12,18A,All present,Absence of Common Consonants,Wintu,,,Pitkin 1984
13,19A,None,Presence of Uncommon Consonants,Wintu,,,Pitkin 1984
14,23A,Double marking,Locus of Marking in the Clause,Wintu,,,Pitkin 1984
15,24A,Dependent marking,Locus of Marking in Possessive Noun Phrases,Wintu,,,Pitkin 1984
16,25A,Inconsistent or other,Locus of Marking: Whole-language Typology,Wintu,,,Pitkin 1984
17,25B,Non-zero marking,Zero Marking of A and P Arguments,Wintu,,,Pitkin 1984
18,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Wintu,,,Pitkin 1984
19,43A,Related to non-remote demonstratives,Third Person Pronouns and Demonstratives,Wintu,,,Pitkin 1984
20,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Wintu,,,Pitkin 1984
21,48A,No adpositions,Person Marking on Adpositions,Wintu,,,Pitkin 1984
22,49A,4 cases,Number of Cases,Wintu,,,Pitkin 1984
23,50A,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Wintu,,,Pitkin 1984
24,51A,Case suffixes,Position of Case Affixes,Wintu,,,Pitkin 1984
25,52A,Differentiation,Comitatives and Instrumentals,Wintu,,,Shepherd 1989
26,55A,Absent,Numeral Classifiers,Wintu,,,Nichols 1992
27,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Wintu,,,Pitkin 1977
28,58A,Exists,Obligatory Possessive Inflection,Wintu,,,Pitkin 1984
29,58B,None reported,Number of Possessive Nouns,Wintu,,,Pitkin 1984
30,59A,Two classes,Possessive Classification,Wintu,,,Pitkin 1984
31,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Wintu,,,Pitkin 1984
32,72A,Maximal system,Imperative-Hortative Systems,Wintu,,,Pitkin 1984
33,73A,Inflectional optative present,The Optative,Wintu,,,Pitkin 1984
34,77A,Direct and indirect,Semantic Distinctions of Evidentiality,Wintu,,,Pitkin 1984
35,78A,Verbal affix or clitic,Coding of Evidentiality,Wintu,,,Pitkin 1984
36,81A,No dominant order,"Order of Subject, Object and Verb",Wintu,,,Pitkin 1977
37,82A,No dominant order,Order of Subject and Verb,Wintu,,,Pitkin 1977
38,83A,No dominant order,Order of Object and Verb,Wintu,,,Pitkin 1977
39,84A,No dominant order,"Order of Object, Oblique, and Verb",Wintu,,,Pitkin 1977
40,86A,Genitive-Noun,Order of Genitive and Noun,Wintu,,,Pitkin 1984
41,94A,Subordinating suffix,Order of Adverbial Subordinator and Clause,Wintu,,,Pitkin 1984
42,95A,Other,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Wintu,,,
43,96A,Other,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Wintu,,,
44,97A,Other,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Wintu,,,
45,100A,Accusative,Alignment of Verbal Person Marking,Wintu,,,Pitkin 1984
46,102A,Only the A argument,Verbal Person Marking,Wintu,,,Pitkin 1984
47,103A,Zero in all 3rd person forms,Third Person Zero of Verbal Person Marking,Wintu,,,Pitkin 1984
48,104A,A and P do not or do not both occur on the verb,Order of Person Markers on the Verb,Wintu,,,Pitkin 1984
49,106A,Distinct from reflexive,Reciprocal Constructions,Wintu,,,Pitkin 1985
50,107A,Present,Passive Constructions,Wintu,,,Mithun 1999
51,112A,Double negation,Negative Morphemes,Wintu,,,Pitkin 1984
52,113A,Asymmetric,Symmetric and Asymmetric Standard Negation,Wintu,,,Pitkin 1984
53,114A,A/Fin,Subtypes of Asymmetric Standard Negation,Wintu,,,Pitkin 1984
54,129A,Different,Hand and Arm,Wintu,,,Pitkin 1985
55,130A,Identical,Finger and Hand,Wintu,,,Pitkin 1985
56,130B,Hunter-gatherers,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',Wintu,,,
57,136A,No M-T pronouns,M-T Pronouns,Wintu,,,Pitkin 1984
58,136B,No m in first person singular,M in First Person Singular,Wintu,,,Pitkin 1984
59,137A,"N-M pronouns, paradigmatic",N-M Pronouns,Wintu,,,Pitkin 1984
60,137B,m in second person singular,M in Second Person Singular,Wintu,,,Pitkin 1984
61,143A,ObligDoubleNeg,Order of Negative Morpheme and Verb,Wintu,,,Pitkin 1984
62,143B,Neg[V-Neg],Obligatory Double Negation,Wintu,,,Pitkin 1984
63,143E,NegV,Preverbal Negative Morphemes,Wintu,,,Pitkin 1984
64,143F,[V-Neg],Postverbal Negative Morphemes,Wintu,,,Pitkin 1984
65,143G,None,Minor morphological means of signaling negation,Wintu,,,Pitkin 1984
