,ID,Name,Parameter,Language,Frequency,Confidence,References
0,33A,No plural,Coding of Nominal Plurality,Wirangu,,,Hercus 1999a
1,34A,No nominal plural,Occurrence of Nominal Plurality,Wirangu,,,Hercus 1999a
2,51A,Postpositional clitics,Position of Case Affixes,Wirangu,,,Hercus 1999a
3,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Wirangu,,,Hercus 1999a
4,61A,Without marking,Adjectives without Nouns,Wirangu,,,Hercus 1999a
5,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Wirangu,,,Hercus 1999a
6,85A,Postpositions,Order of Adposition and Noun Phrase,Wirangu,,,Hercus 1999a
7,101A,Optional pronouns in subject position,Expression of Pronominal Subjects,Wirangu,,,Hercus 1999a
8,105A,Indirect-object construction,Ditransitive Constructions: The Verb 'Give',Wirangu,,,Hercus 1999a
9,112A,Negative particle,Negative Morphemes,Wirangu,,,Hercus 1999a
10,129A,Different,Hand and Arm,Wirangu,,,Hercus 1999a
11,130A,Different,Finger and Hand,Wirangu,,,Hercus 1999a
