,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Little affixation,Prefixing vs. Suffixing in Inflectional Morphology,Woleaian,,,Sohn 1975
1,37A,Definite word distinct from demonstrative,Definite Articles,Woleaian,,,Sohn 1975
2,38A,Indefinite word same as 'one',Indefinite Articles,Woleaian,,,Sohn 1975
3,51A,No case affixes or adpositional clitics,Position of Case Affixes,Woleaian,,,Sohn 1975
4,57A,Possessive suffixes,Position of Pronominal Possessive Affixes,Woleaian,,,Sohn 1975
5,69A,No tense-aspect inflection,Position of Tense-Aspect Affixes,Woleaian,,,Sohn 1975
6,77A,No grammatical evidentials,Semantic Distinctions of Evidentiality,Woleaian,,,Sohn 1975
7,78A,No grammatical evidentials,Coding of Evidentiality,Woleaian,,,Sohn 1975
8,81A,SVO,"Order of Subject, Object and Verb",Woleaian,,,Sohn 1975
9,82A,SV,Order of Subject and Verb,Woleaian,,,Sohn 1975
10,83A,VO,Order of Object and Verb,Woleaian,,,Sohn 1975
11,84A,VOX,"Order of Object, Oblique, and Verb",Woleaian,,,Sohn 1975
12,85A,Prepositions,Order of Adposition and Noun Phrase,Woleaian,,,Sohn 1975
13,86A,No dominant order,Order of Genitive and Noun,Woleaian,,,Sohn 1975
14,87A,Noun-Adjective,Order of Adjective and Noun,Woleaian,,,Sohn 1975
15,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Woleaian,,,Sohn 1975
16,89A,Numeral-Noun,Order of Numeral and Noun,Woleaian,,,Sohn 1975
17,90A,Noun-Relative clause,Order of Relative Clause and Noun,Woleaian,,,Sohn 1975
18,90C,Noun-Relative clause (NRel) dominant,Postnominal relative clauses,Woleaian,,,Sohn 1975
19,91A,Adjective-Degree word,Order of Degree Word and Adjective,Woleaian,,,Sohn 1975
20,92A,No question particle,Position of Polar Question Particles,Woleaian,,,Sohn 1975
21,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Woleaian,,,Sohn 1975
22,94A,Initial subordinator word,Order of Adverbial Subordinator and Clause,Woleaian,,,Sohn 1975
23,95A,VO and Prepositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Woleaian,,,
24,96A,VO and NRel,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Woleaian,,,
25,97A,VO and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Woleaian,,,
26,101A,Subject pronouns in different position,Expression of Pronominal Subjects,Woleaian,,,Sohn 1975
27,111A,Morphological but no compound,Nonperiphrastic Causative Constructions,Woleaian,,,Sohn 1975
28,112A,"Negative word, unclear if verb or particle",Negative Morphemes,Woleaian,,,Sohn 1975
29,116A,Interrogative intonation only,Polar Questions,Woleaian,,,Sohn 1975
30,118A,Verbal encoding,Predicative Adjectives,Woleaian,,,Sohn 1975
31,119A,Different,Nominal and Locational Predication,Woleaian,,,Sohn 1975
32,120A,Possible,Zero Copula for Predicate Nominals,Woleaian,,,Sohn 1975
33,129A,Identical,Hand and Arm,Woleaian,,,Sohn and Tawerilmang 1976
34,130A,Different,Finger and Hand,Woleaian,,,Sohn and Tawerilmang 1976
35,143A,NegV,Order of Negative Morpheme and Verb,Woleaian,,,Sohn 1975
36,143E,NegV,Preverbal Negative Morphemes,Woleaian,,,Sohn 1975
37,143F,None,Postverbal Negative Morphemes,Woleaian,,,Sohn 1975
38,143G,None,Minor morphological means of signaling negation,Woleaian,,,Sohn 1975
39,144A,SNegVO,"Position of Negative Word With Respect to Subject, Object, and Verb",Woleaian,,,Sohn 1975
40,144B,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Woleaian,,,Sohn 1975
41,144D,SNegVO,The Position of Negative Morphemes in SVO Languages,Woleaian,,,Sohn 1975
42,144H,No NegSVO,NegSVO Order,Woleaian,,,Sohn 1975
43,144I,Word&NoDoubleNeg,SNegVO Order,Woleaian,,,Sohn 1975
44,144J,No SVNegO,SVNegO Order,Woleaian,,,Sohn 1975
45,144K,No SVONeg,SVONeg Order,Woleaian,,,Sohn 1975
