,ID,Name,Parameter,Language,Frequency,Confidence,References
0,51A,Case suffixes,Position of Case Affixes,Womo,,,
1,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Womo,,,
2,81A,SOV,"Order of Subject, Object and Verb",Womo,,,
3,82A,SV,Order of Subject and Verb,Womo,,,
4,83A,OV,Order of Object and Verb,Womo,,,
5,84A,OVX,"Order of Object, Oblique, and Verb",Womo,,,
6,86A,Genitive-Noun,Order of Genitive and Noun,Womo,,,
7,87A,Noun-Adjective,Order of Adjective and Noun,Womo,,,
8,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Womo,,,
9,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Womo,,,
10,97A,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Womo,,,
11,112A,Negative particle,Negative Morphemes,Womo,,,
12,143A,VNeg,Order of Negative Morpheme and Verb,Womo,,,
13,143E,None,Preverbal Negative Morphemes,Womo,,,
14,143F,VNeg,Postverbal Negative Morphemes,Womo,,,
15,143G,None,Minor morphological means of signaling negation,Womo,,,
16,144A,SOVNeg,"Position of Negative Word With Respect to Subject, Object, and Verb",Womo,,,
17,144B,Immed postverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Womo,,,
18,144L,SOVNeg,The Position of Negative Morphemes in SOV Languages,Womo,,,
19,144P,No NegSOV,NegSOV Order,Womo,,,
20,144Q,No SNegOV,SNegOV Order,Womo,,,
21,144R,No SONegV,SONegV Order,Womo,,,
22,144S,Word&NoDoubleNeg,SOVNeg Order,Womo,,,
