,ID,Name,Parameter,Language,Frequency,Confidence,References
0,57A,Possessive prefixes,Position of Pronominal Possessive Affixes,Xerénte,,,de Souza Filho 2007
1,81A,SOV,"Order of Subject, Object and Verb",Xerénte,,,de Souza Filho 2007
2,82A,SV,Order of Subject and Verb,Xerénte,,,de Souza Filho 2007
3,83A,OV,Order of Object and Verb,Xerénte,,,de Souza Filho 2007
4,86A,Genitive-Noun,Order of Genitive and Noun,Xerénte,,,de Souza Filho 2007
5,87A,Noun-Adjective,Order of Adjective and Noun,Xerénte,,,de Souza Filho 2007
6,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Xerénte,,,de Souza Filho 2007
7,97A,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Xerénte,,,
8,106A,Identical to reflexive,Reciprocal Constructions,Xerénte,,,Wiesemann 1986a
9,129A,Different,Hand and Arm,Xerénte,,,Martius 1863
10,130A,Different,Finger and Hand,Xerénte,,,Martius 1863
