,ID,Name,Parameter,Language,Frequency,Confidence,References
0,23A,Dependent marking,Locus of Marking in the Clause,Xokleng,,,Henry 1935
1,24A,Head marking,Locus of Marking in Possessive Noun Phrases,Xokleng,,,Henry 1935
2,25A,Inconsistent or other,Locus of Marking: Whole-language Typology,Xokleng,,,Henry 1935
3,25B,Non-zero marking,Zero Marking of A and P Arguments,Xokleng,,,Henry 1935
4,44A,3rd person singular only,Gender Distinctions in Independent Personal Pronouns,Xokleng,,,Urban 1985
5,48A,No person marking,Person Marking on Adpositions,Xokleng,,,Urban 1985
6,100A,Neutral,Alignment of Verbal Person Marking,Xokleng,,,Urban 1985
7,102A,No person marking,Verbal Person Marking,Xokleng,,,Urban 1985
8,103A,No zero realization,Third Person Zero of Verbal Person Marking,Xokleng,,,Urban 1985
9,104A,A and P do not or do not both occur on the verb,Order of Person Markers on the Verb,Xokleng,,,Urban 1985
10,106A,Distinct from reflexive,Reciprocal Constructions,Xokleng,,,Wiesemann 1986a
11,129A,Different,Hand and Arm,Xokleng,,,Martius 1863
12,130A,Identical,Finger and Hand,Xokleng,,,Martius 1863
13,130B,Hunter-gatherers,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',Xokleng,,,
14,136A,No M-T pronouns,M-T Pronouns,Xokleng,,,Urban 1985
15,136B,No m in first person singular,M in First Person Singular,Xokleng,,,Urban 1985
16,137A,"N-M pronouns, paradigmatic",N-M Pronouns,Xokleng,,,Urban 1985
17,137B,m in second person singular,M in Second Person Singular,Xokleng,,,Urban 1985
