,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Little affixation,Prefixing vs. Suffixing in Inflectional Morphology,Xârâcùù,,,
1,33A,Plural word,Coding of Nominal Plurality,Xârâcùù,,,
2,37A,No definite or indefinite article,Definite Articles,Xârâcùù,,,
3,38A,No definite or indefinite article,Indefinite Articles,Xârâcùù,,,
4,51A,No case affixes or adpositional clitics,Position of Case Affixes,Xârâcùù,,,
5,57A,Possessive suffixes,Position of Pronominal Possessive Affixes,Xârâcùù,,,
6,69A,No tense-aspect inflection,Position of Tense-Aspect Affixes,Xârâcùù,,,
7,81A,SVO,"Order of Subject, Object and Verb",Xârâcùù,,,
8,82A,SV,Order of Subject and Verb,Xârâcùù,,,
9,83A,VO,Order of Object and Verb,Xârâcùù,,,
10,84A,VOX,"Order of Object, Oblique, and Verb",Xârâcùù,,,
11,85A,Prepositions,Order of Adposition and Noun Phrase,Xârâcùù,,,
12,86A,No dominant order,Order of Genitive and Noun,Xârâcùù,,,
13,87A,Adjective-Noun,Order of Adjective and Noun,Xârâcùù,,,
14,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Xârâcùù,,,
15,89A,Numeral-Noun,Order of Numeral and Noun,Xârâcùù,,,
16,95A,VO and Prepositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Xârâcùù,,,
17,97A,VO and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Xârâcùù,,,
18,112A,"Negative word, unclear if verb or particle",Negative Morphemes,Xârâcùù,,,
19,129A,Different,Hand and Arm,Xârâcùù,,,Grace 1975
20,130A,Different,Finger and Hand,Xârâcùù,,,Grace 1975
21,143A,NegV,Order of Negative Morpheme and Verb,Xârâcùù,,,
22,143E,NegV,Preverbal Negative Morphemes,Xârâcùù,,,
23,143F,None,Postverbal Negative Morphemes,Xârâcùù,,,
24,143G,None,Minor morphological means of signaling negation,Xârâcùù,,,
25,144A,SNegVO,"Position of Negative Word With Respect to Subject, Object, and Verb",Xârâcùù,,,
26,144B,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Xârâcùù,,,
27,144D,SNegVO,The Position of Negative Morphemes in SVO Languages,Xârâcùù,,,
28,144H,No NegSVO,NegSVO Order,Xârâcùù,,,
29,144I,Word&NoDoubleNeg,SNegVO Order,Xârâcùù,,,
30,144J,No SVNegO,SVNegO Order,Xârâcùù,,,
31,144K,No SVONeg,SVONeg Order,Xârâcùù,,,
