,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Small,Consonant Inventories,Yagaria,,,Haiman 1980
1,2A,Average (5-6),Vowel Quality Inventories,Yagaria,,,Haiman 1980
2,3A,Average,Consonant-Vowel Ratio,Yagaria,,,Haiman 1980
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Yagaria,,,Haiman 1980
4,5A,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Yagaria,,,Haiman 1980
5,6A,None,Uvular Consonants,Yagaria,,,Haiman 1980
6,7A,Implosives only,Glottalized Consonants,Yagaria,,,Haiman 1980
7,8A,"Laterals, but no /l/, no obstruent laterals",Lateral Consonants,Yagaria,,,Haiman 1980
8,11A,None,Front Rounded Vowels,Yagaria,,,Haiman 1980
9,12A,Complex,Syllable Structure,Yagaria,,,Haiman 1980
10,13A,Simple tone system,Tone,Yagaria,,,Haiman 1980
11,18A,All present,Absence of Common Consonants,Yagaria,,,Haiman 1980
12,19A,None,Presence of Uncommon Consonants,Yagaria,,,Haiman 1980
13,26A,Equal prefixing and suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Yagaria,,,Renck 1975
14,33A,Plural clitic,Coding of Nominal Plurality,Yagaria,,,Renck 1975
15,37A,"No definite, but indefinite article",Definite Articles,Yagaria,,,Renck 1975
16,38A,Indefinite word same as 'one',Indefinite Articles,Yagaria,,,Renck 1975
17,41A,Three-way contrast,Distance Contrasts in Demonstratives,Yagaria,,,Renck 1975
18,42A,Different stem,Pronominal and Adnominal Demonstratives,Yagaria,,,Renck 1975
19,51A,Postpositional clitics,Position of Case Affixes,Yagaria,,,Renck 1975
20,57A,Prefixes and suffixes,Position of Pronominal Possessive Affixes,Yagaria,,,Renck 1975
21,65A,Grammatical marking,Perfective/Imperfective Aspect,Yagaria,,,Bybee et al. 1994
22,66A,No past tense,The Past Tense,Yagaria,,,Bybee et al. 1994
23,67A,Inflectional future exists,The Future Tense,Yagaria,,,Bybee et al. 1994
24,68A,Other perfect,The Perfect,Yagaria,,,Bybee et al. 1994
25,69A,Mixed type,Position of Tense-Aspect Affixes,Yagaria,,,Renck 1975
26,81A,SOV,"Order of Subject, Object and Verb",Yagaria,,,Renck 1975
27,82A,SV,Order of Subject and Verb,Yagaria,,,Renck 1975
28,83A,OV,Order of Object and Verb,Yagaria,,,Renck 1975
29,84A,XOV,"Order of Object, Oblique, and Verb",Yagaria,,,Renck 1975
30,85A,Postpositions,Order of Adposition and Noun Phrase,Yagaria,,,Renck 1975
31,86A,Genitive-Noun,Order of Genitive and Noun,Yagaria,,,Renck 1975
32,87A,Adjective-Noun,Order of Adjective and Noun,Yagaria,,,Renck 1975
33,89A,Noun-Numeral,Order of Numeral and Noun,Yagaria,,,Renck 1975
34,90A,Relative clause-Noun,Order of Relative Clause and Noun,Yagaria,,,Renck 1975
35,90B,Relative clause-Noun (RelN) dominant,Prenominal relative clauses,Yagaria,,,Renck 1975
36,90G,Double-headed as nondominant type,Double-headed relative clauses,Yagaria,,,Renck 1975
37,92A,Final,Position of Polar Question Particles,Yagaria,,,Renck 1975
38,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Yagaria,,,Renck 1975
39,94A,Mixed,Order of Adverbial Subordinator and Clause,Yagaria,,,Renck 1975
40,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Yagaria,,,
41,96A,OV and RelN,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Yagaria,,,
42,97A,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Yagaria,,,
43,101A,Subject affixes on verb,Expression of Pronominal Subjects,Yagaria,,,Renck 1975
44,112A,Negative affix,Negative Morphemes,Yagaria,,,Renck 1975
45,116A,Question particle,Polar Questions,Yagaria,,,Renck 1975
46,118A,Nonverbal encoding,Predicative Adjectives,Yagaria,,,Renck 1975
47,119A,Identical,Nominal and Locational Predication,Yagaria,,,Renck 1975
48,120A,Possible,Zero Copula for Predicate Nominals,Yagaria,,,Renck 1975
49,122A,Gap,Relativization on Subjects,Yagaria,,,Renck 1975
50,129A,Identical,Hand and Arm,Yagaria,,,Renck 1977
51,130A,Identical,Finger and Hand,Yagaria,,,Renck 1977
52,130B,Full-fledged farmers,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',Yagaria,,,
53,143A,[Neg-V],Order of Negative Morpheme and Verb,Yagaria,,,Renck 1975
54,143E,[Neg-V],Preverbal Negative Morphemes,Yagaria,,,Renck 1975
55,143F,None,Postverbal Negative Morphemes,Yagaria,,,Renck 1975
56,143G,None,Minor morphological means of signaling negation,Yagaria,,,Renck 1975
57,144A,MorphNeg,"Position of Negative Word With Respect to Subject, Object, and Verb",Yagaria,,,Renck 1975
58,144L,SO[Neg-V],The Position of Negative Morphemes in SOV Languages,Yagaria,,,Renck 1975
59,144P,No NegSOV,NegSOV Order,Yagaria,,,Renck 1975
60,144Q,No SNegOV,SNegOV Order,Yagaria,,,Renck 1975
61,144R,Prefix&NoDoubleNeg,SONegV Order,Yagaria,,,Renck 1975
62,144S,NoSOVNeg,SOVNeg Order,Yagaria,,,Renck 1975
