,ID,Name,Parameter,Language,Frequency,Confidence,References
0,51A,Case suffixes,Position of Case Affixes,Yahgan,,,Adelaar 2004
1,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Yahgan,,,Adelaar 2004
2,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Yahgan,,,Adelaar 2004
3,72A,Neither type of system,Imperative-Hortative Systems,Yahgan,,,Adam 1885
4,81A,SOV,"Order of Subject, Object and Verb",Yahgan,,,Adelaar 2004
5,82A,SV,Order of Subject and Verb,Yahgan,,,Adelaar 2004
6,83A,OV,Order of Object and Verb,Yahgan,,,Adelaar 2004
7,85A,Postpositions,Order of Adposition and Noun Phrase,Yahgan,,,Adelaar 2004
8,87A,Adjective-Noun,Order of Adjective and Noun,Yahgan,,,Adelaar 2004
9,88A,Mixed,Order of Demonstrative and Noun,Yahgan,,,Adelaar 2004
10,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Yahgan,,,
11,97A,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Yahgan,,,
12,101A,Mixed,Expression of Pronominal Subjects,Yahgan,,,Adelaar 2004
13,121A,Exceed,Comparative Constructions,Yahgan,,,Adam 1885
14,129A,Different,Hand and Arm,Yahgan,,,Beauvoir 1915
15,130A,Different,Finger and Hand,Yahgan,,,Beauvoir 1915
