,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Yale (Kosarek),,,Heeschen 1992
1,51A,Postpositional clitics,Position of Case Affixes,Yale (Kosarek),,,Heeschen 1992
2,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Yale (Kosarek),,,Heeschen 1992
3,81A,SOV,"Order of Subject, Object and Verb",Yale (Kosarek),,,Heeschen 1992
4,82A,SV,Order of Subject and Verb,Yale (Kosarek),,,Heeschen 1992
5,83A,OV,Order of Object and Verb,Yale (Kosarek),,,Heeschen 1992
6,85A,Postpositions,Order of Adposition and Noun Phrase,Yale (Kosarek),,,Heeschen 1992
7,86A,Genitive-Noun,Order of Genitive and Noun,Yale (Kosarek),,,Heeschen 1992
8,87A,Noun-Adjective,Order of Adjective and Noun,Yale (Kosarek),,,Heeschen 1992
9,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Yale (Kosarek),,,Heeschen 1992
10,89A,Noun-Numeral,Order of Numeral and Noun,Yale (Kosarek),,,Heeschen 1992
11,90A,Relative clause-Noun,Order of Relative Clause and Noun,Yale (Kosarek),,,Heeschen 1992
12,90B,Relative clause-Noun (RelN) dominant,Prenominal relative clauses,Yale (Kosarek),,,Heeschen 1992
13,92A,No question particle,Position of Polar Question Particles,Yale (Kosarek),,,Heeschen 1992
14,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Yale (Kosarek),,,Heeschen 1992
15,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Yale (Kosarek),,,
16,96A,OV and RelN,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Yale (Kosarek),,,
17,97A,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Yale (Kosarek),,,
18,101A,Subject affixes on verb,Expression of Pronominal Subjects,Yale (Kosarek),,,Heeschen 1992
19,116A,Interrogative verb morphology,Polar Questions,Yale (Kosarek),,,Heeschen 1992
