,ID,Name,Parameter,Language,Frequency,Confidence,References
0,34A,"All nouns, always optional",Occurrence of Nominal Plurality,Yawuru,,,Hosokawa 1991
1,46A,Special,Indefinite Pronouns,Yawuru,,,Hosokawa 1991
2,51A,Inpositional clitics,Position of Case Affixes,Yawuru,,,Hosokawa 1991
3,64A,Identity,Nominal and Verbal Conjunction,Yawuru,,,Hosokawa 1991
4,81A,No dominant order,"Order of Subject, Object and Verb",Yawuru,,,Hosokawa 1991
5,82A,VS,Order of Subject and Verb,Yawuru,,,Hosokawa 1991
6,83A,No dominant order,Order of Object and Verb,Yawuru,,,Hosokawa 1991
7,84A,No dominant order,"Order of Object, Oblique, and Verb",Yawuru,,,Hosokawa 1991
8,85A,Inpositions,Order of Adposition and Noun Phrase,Yawuru,,,Hosokawa 1991
9,86A,Noun-Genitive,Order of Genitive and Noun,Yawuru,,,Hosokawa 1991
10,87A,Adjective-Noun,Order of Adjective and Noun,Yawuru,,,Hosokawa 1991
11,95A,Other,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Yawuru,,,
12,96A,Other,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Yawuru,,,
13,97A,Other,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Yawuru,,,
14,124A,Subject is expressed overtly,'Want' Complement Subjects,Yawuru,,,Hosokawa 1991
15,143A,NegV,Order of Negative Morpheme and Verb,Yawuru,,,Hosokawa 1991
16,143E,NegV,Preverbal Negative Morphemes,Yawuru,,,Hosokawa 1991
17,143F,None,Postverbal Negative Morphemes,Yawuru,,,Hosokawa 1991
18,143G,None,Minor morphological means of signaling negation,Yawuru,,,Hosokawa 1991
