,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Large,Consonant Inventories,Yeyi,,,Gowlett 1997
1,2A,Average (5-6),Vowel Quality Inventories,Yeyi,,,Gowlett 1997
2,3A,High,Consonant-Vowel Ratio,Yeyi,,,Gowlett 1997
3,4A,In both plosives and fricatives,Voicing in Plosives and Fricatives,Yeyi,,,Gowlett 1997
4,5A,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Yeyi,,,Gowlett 1997
5,6A,None,Uvular Consonants,Yeyi,,,Gowlett 1997
6,7A,Ejectives only,Glottalized Consonants,Yeyi,,,Gowlett 1997
7,8A,"Laterals, but no /l/, no obstruent laterals",Lateral Consonants,Yeyi,,,Gowlett 1997
8,11A,None,Front Rounded Vowels,Yeyi,,,Gowlett 1997
9,12A,Moderately complex,Syllable Structure,Yeyi,,,Gowlett 1997
10,13A,Simple tone system,Tone,Yeyi,,,Gowlett 1997
11,18A,All present,Absence of Common Consonants,Yeyi,,,Gowlett 1997
12,19A,Clicks,Presence of Uncommon Consonants,Yeyi,,,Gowlett 1997
13,34A,"All nouns, always obligatory",Occurrence of Nominal Plurality,Yeyi,,,Lukusa 2002
14,124A,Subject is left implicit,'Want' Complement Subjects,Yeyi,,,Lukusa 2002
