,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Yingkarta,,,Dench 1998
1,34A,No nominal plural,Occurrence of Nominal Plurality,Yingkarta,,,Dench 1998
2,37A,Definite affix,Definite Articles,Yingkarta,,,Dench 1998
3,39B,No inclusive/exclusive opposition,Inclusive/Exclusive Forms in Pama-Nyungan,Yingkarta,,,
4,46A,Interrogative-based,Indefinite Pronouns,Yingkarta,,,Dench 1998
5,51A,Case suffixes,Position of Case Affixes,Yingkarta,,,Dench 1998
6,55A,Absent,Numeral Classifiers,Yingkarta,,,Dench 1998
7,57A,Possessive suffixes,Position of Pronominal Possessive Affixes,Yingkarta,,,Dench 1998
8,60A,Highly differentiated,"Genitives, Adjectives and Relative Clauses",Yingkarta,,,Dench 1998
9,61A,Without marking,Adjectives without Nouns,Yingkarta,,,Dench 1998
10,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Yingkarta,,,Dench 1998
11,70A,Second singular and second plural,The Morphological Imperative,Yingkarta,,,Dench 1998
12,71A,Normal imperative + normal negative,The Prohibitive,Yingkarta,,,Dench 1998
13,81A,SVO,"Order of Subject, Object and Verb",Yingkarta,,,Dench 1998
14,82A,SV,Order of Subject and Verb,Yingkarta,,,Dench 1998
15,83A,VO,Order of Object and Verb,Yingkarta,,,Dench 1998
16,87A,Adjective-Noun,Order of Adjective and Noun,Yingkarta,,,Dench 1998
17,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Yingkarta,,,Dench 1998
18,89A,Numeral-Noun,Order of Numeral and Noun,Yingkarta,,,Dench 1998
19,92A,No question particle,Position of Polar Question Particles,Yingkarta,,,Dench 1998
20,97A,VO and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Yingkarta,,,
21,101A,Subject clitics on variable host,Expression of Pronominal Subjects,Yingkarta,,,Dench 1998
22,105A,Secondary-object construction,Ditransitive Constructions: The Verb 'Give',Yingkarta,,,Dench 1998
23,112A,Negative particle,Negative Morphemes,Yingkarta,,,Dench 1998
24,116A,Interrogative intonation only,Polar Questions,Yingkarta,,,Dench 1998
25,143A,NegV,Order of Negative Morpheme and Verb,Yingkarta,,,Dench 1998
26,143E,NegV,Preverbal Negative Morphemes,Yingkarta,,,Dench 1998
27,143F,None,Postverbal Negative Morphemes,Yingkarta,,,Dench 1998
28,143G,None,Minor morphological means of signaling negation,Yingkarta,,,Dench 1998
29,144A,SNegVO,"Position of Negative Word With Respect to Subject, Object, and Verb",Yingkarta,,,Dench 1998
30,144B,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Yingkarta,,,Dench 1998
31,144D,SNegVO,The Position of Negative Morphemes in SVO Languages,Yingkarta,,,Dench 1998
32,144H,No NegSVO,NegSVO Order,Yingkarta,,,Dench 1998
33,144I,Word&NoDoubleNeg,SNegVO Order,Yingkarta,,,Dench 1998
34,144J,No SVNegO,SVNegO Order,Yingkarta,,,Dench 1998
35,144K,No SVONeg,SVONeg Order,Yingkarta,,,Dench 1998
