,ID,Name,Parameter,Language,Frequency,Confidence,References
0,14A,Initial,Fixed Stress Locations,Yir Yoront,,,Alpher 1991
1,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Yir Yoront,,,Alpher 1991
2,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Yir Yoront,,,Alpher 1991
3,17A,No rhythmic stress,Rhythm Types,Yir Yoront,,,Alpher 1991
4,27A,Productive full and partial reduplication,Reduplication,Yir Yoront,,,Alpher 1973
5,52A,Differentiation,Comitatives and Instrumentals,Yir Yoront,,,Stolz 1996
6,88A,Mixed,Order of Demonstrative and Noun,Yir Yoront,,,Alpher 1973
7,105A,Double-object construction,Ditransitive Constructions: The Verb 'Give',Yir Yoront,,,Alpher 1991
8,124A,Desiderative verbal affix,'Want' Complement Subjects,Yir Yoront,,,Alpher 1991
9,129A,Different,Hand and Arm,Yir Yoront,,,Alpher 1991
10,130A,Identical,Finger and Hand,Yir Yoront,,,Alpher 1991
11,130B,Hunter-gatherers,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',Yir Yoront,,,
