,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately small,Consonant Inventories,Yoruba,,,Bamgbose 1966
1,2A,Large (7-14),Vowel Quality Inventories,Yoruba,,,Bamgbose 1966
2,3A,Moderately low,Consonant-Vowel Ratio,Yoruba,,,Bamgbose 1966
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Yoruba,,,Bamgbose 1966
4,5A,Missing /p/,Voicing and Gaps in Plosive Systems,Yoruba,,,Bamgbose 1966
5,6A,None,Uvular Consonants,Yoruba,,,Bamgbose 1966
6,7A,No glottalized consonants,Glottalized Consonants,Yoruba,,,Bamgbose 1966
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Yoruba,,,Bamgbose 1966
8,9A,No velar nasal,The Velar Nasal,Yoruba,,,Bamgbose 1966
9,10A,Contrast present,Vowel Nasalization,Yoruba,,,Ogunbowale 1970
10,11A,None,Front Rounded Vowels,Yoruba,,,Bamgbose 1966
11,12A,Simple,Syllable Structure,Yoruba,,,Bamgbose 1966
12,13A,Complex tone system,Tone,Yoruba,,,Bamgbose 1966
13,18A,All present,Absence of Common Consonants,Yoruba,,,Bamgbose 1966
14,19A,Labial-velars,Presence of Uncommon Consonants,Yoruba,,,Bamgbose 1966
15,20A,Tonal/isolating,Fusion of Selected Inflectional Formatives,Yoruba,,,Bamgbose 1966
16,21A,Monoexponential case,Exponence of Selected Inflectional Formatives,Yoruba,,,Bamgbose 1966
17,21B,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Yoruba,,,Bamgbose 1966
18,22A,6-7 categories per word,Inflectional Synthesis of the Verb,Yoruba,,,Awobuluyi 1978
19,23A,Double marking,Locus of Marking in the Clause,Yoruba,,,Awobuluyi 1978
20,24A,Head marking,Locus of Marking in Possessive Noun Phrases,Yoruba,,,Awobuluyi 1978
21,25A,Inconsistent or other,Locus of Marking: Whole-language Typology,Yoruba,,,Awobuluyi 1978
22,25B,Non-zero marking,Zero Marking of A and P Arguments,Yoruba,,,Awobuluyi 1978
23,26A,Little affixation,Prefixing vs. Suffixing in Inflectional Morphology,Yoruba,,,Bamgbose 1966
24,27A,Productive full and partial reduplication,Reduplication,Yoruba,,,Akinlabi 2001
25,28A,No syncretism,Case Syncretism,Yoruba,,,Rowlands 1969
26,29A,No subject person/number marking,Syncretism in Verbal Person/Number Marking,Yoruba,,,Rowlands 1969
27,30A,None,Number of Genders,Yoruba,,,Ogunbowale 1970
28,31A,No gender,Sex-based and Non-sex-based Gender Systems,Yoruba,,,Ogunbowale 1970
29,32A,No gender,Systems of Gender Assignment,Yoruba,,,Ogunbowale 1970
