,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Large,Consonant Inventories,Yuchi,,,Ballard 1975
1,2A,Average (5-6),Vowel Quality Inventories,Yuchi,,,Ballard 1975
2,3A,Moderately high,Consonant-Vowel Ratio,Yuchi,,,Ballard 1975
3,4A,In plosives alone,Voicing in Plosives and Fricatives,Yuchi,,,Ballard 1975
4,5A,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Yuchi,,,Ballard 1975
5,6A,None,Uvular Consonants,Yuchi,,,Ballard 1975
6,7A,Ejectives and glottalized resonants,Glottalized Consonants,Yuchi,,,Ballard 1975
7,8A,/l/ and lateral obstruent,Lateral Consonants,Yuchi,,,Ballard 1975
8,9A,No velar nasal,The Velar Nasal,Yuchi,,,Crawford 1973
9,10A,Contrast present,Vowel Nasalization,Yuchi,,,Crawford 1973
10,11A,None,Front Rounded Vowels,Yuchi,,,Ballard 1975
11,13A,No tones,Tone,Yuchi,,,Ballard 1975
12,14A,No fixed stress,Fixed Stress Locations,Yuchi,,,Wagner 1933-1938
13,15A,Not predictable,Weight-Sensitive Stress,Yuchi,,,Wagner 1933-1938
14,16A,Lexical stress,Weight Factors in Weight-Sensitive Stress Systems,Yuchi,,,Wagner 1933-1938
15,17A,Undetermined,Rhythm Types,Yuchi,,,Wagner 1933-1938
16,18A,All present,Absence of Common Consonants,Yuchi,,,Ballard 1975
17,19A,None,Presence of Uncommon Consonants,Yuchi,,,Ballard 1975
18,21A,No case,Exponence of Selected Inflectional Formatives,Yuchi,,,Wagner 1933-1938
19,21B,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Yuchi,,,Wagner 1933-1938
20,23A,Head marking,Locus of Marking in the Clause,Yuchi,,,Wagner 1933-1938
21,24A,Head marking,Locus of Marking in Possessive Noun Phrases,Yuchi,,,Wagner 1933-1938
22,25A,Head-marking,Locus of Marking: Whole-language Typology,Yuchi,,,Wagner 1933-1938
23,25B,Non-zero marking,Zero Marking of A and P Arguments,Yuchi,,,Wagner 1933-1938
24,26A,Equal prefixing and suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Yuchi,,,Linn 2001
25,27A,Productive full and partial reduplication,Reduplication,Yuchi,,,Mithun 1999
26,28A,No case marking,Case Syncretism,Yuchi,,,Wagner 1933-1938
27,29A,Not syncretic,Syncretism in Verbal Person/Number Marking,Yuchi,,,Wagner 1933-1938
28,33A,Plural word,Coding of Nominal Plurality,Yuchi,,,Wagner 1933-1938
29,35A,Person-number affixes,Plurality in Independent Personal Pronouns,Yuchi,,,Wagner 1933-1938
30,38A,"No indefinite, but definite article",Indefinite Articles,Yuchi,,,Linn 2001
31,39A,Inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Yuchi,,,Wagner 1933-1938
32,40A,Inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,Yuchi,,,Wagner 1933-1938
33,43A,Related by gender markers,Third Person Pronouns and Demonstratives,Yuchi,,,Wagner 1933-1938
34,44A,"3rd person only, but also non-singular",Gender Distinctions in Independent Personal Pronouns,Yuchi,,,Wagner 1933-1938
35,48A,Pronouns only,Person Marking on Adpositions,Yuchi,,,Wagner 1933-1938
36,49A,Exclusively borderline case-marking,Number of Cases,Yuchi,,,Wagner 1933-1938
37,50A,Symmetrical,Asymmetrical Case-Marking,Yuchi,,,Wagner 1933-1938
38,51A,Case suffixes,Position of Case Affixes,Yuchi,,,Wagner 1934
39,55A,Absent,Numeral Classifiers,Yuchi,,,Nichols 1992
40,57A,Possessive prefixes,Position of Pronominal Possessive Affixes,Yuchi,,,Wagner 1934
41,58A,Absent,Obligatory Possessive Inflection,Yuchi,,,Wagner 1933-1938
42,58B,None reported,Number of Possessive Nouns,Yuchi,,,Wagner 1933-1938
43,59A,Three to five classes,Possessive Classification,Yuchi,,,Wagner 1933-1938
44,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Yuchi,,,Wagner 1934
45,74A,Affixes on verbs,Situational Possibility,Yuchi,,,Wagner 1933-1938
46,75A,Affixes on verbs,Epistemic Possibility,Yuchi,,,Wagner 1933-1938
47,76A,No overlap,Overlap between Situational and Epistemic Modal Marking,Yuchi,,,Wagner 1933-1938
48,77A,No grammatical evidentials,Semantic Distinctions of Evidentiality,Yuchi,,,Wagner 1933-1938
49,78A,No grammatical evidentials,Coding of Evidentiality,Yuchi,,,Wagner 1933-1938
50,81A,SOV,"Order of Subject, Object and Verb",Yuchi,,,Linn 2001
51,82A,SV,Order of Subject and Verb,Yuchi,,,Linn 2001
52,83A,OV,Order of Object and Verb,Yuchi,,,Linn 2001
53,85A,Postpositions,Order of Adposition and Noun Phrase,Yuchi,,,Linn 2001
54,86A,Genitive-Noun,Order of Genitive and Noun,Yuchi,,,Linn 2001
55,87A,Noun-Adjective,Order of Adjective and Noun,Yuchi,,,Linn 2001
56,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Yuchi,,,Linn 2001
57,89A,Noun-Numeral,Order of Numeral and Noun,Yuchi,,,Linn 2001
58,90A,Noun-Relative clause,Order of Relative Clause and Noun,Yuchi,,,Linn 2001
59,90C,Noun-Relative clause (NRel) dominant,Postnominal relative clauses,Yuchi,,,Linn 2001
60,92A,Second position,Position of Polar Question Particles,Yuchi,,,Wagner 1933-1938
61,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Yuchi,,,Linn 2001
62,94A,Final subordinator word,Order of Adverbial Subordinator and Clause,Yuchi,,,Wagner 1934
63,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Yuchi,,,
64,96A,OV and NRel,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Yuchi,,,
65,97A,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Yuchi,,,
66,100A,Active,Alignment of Verbal Person Marking,Yuchi,,,Wagner 1933-1938
67,101A,Subject affixes on verb,Expression of Pronominal Subjects,Yuchi,,,Wagner 1934
68,102A,Both the A and P arguments,Verbal Person Marking,Yuchi,,,Wagner 1933-1938
69,103A,No zero realization,Third Person Zero of Verbal Person Marking,Yuchi,,,Wagner 1933-1938
70,104A,Both orders of A and P occur,Order of Person Markers on the Verb,Yuchi,,,Wagner 1933-1938
71,107A,Absent,Passive Constructions,Yuchi,,,Wagner 1933-1938
72,111A,Compound but no morphological,Nonperiphrastic Causative Constructions,Yuchi,,,Wagner 1933-1938
73,113A,Symmetric,Symmetric and Asymmetric Standard Negation,Yuchi,,,Wagner 1933-1938
74,114A,Non-assignable,Subtypes of Asymmetric Standard Negation,Yuchi,,,Wagner 1933-1938
75,116A,Question particle,Polar Questions,Yuchi,,,Wagner 1933-1938
76,136A,No M-T pronouns,M-T Pronouns,Yuchi,,,Wagner 1933-1938
77,136B,No m in first person singular,M in First Person Singular,Yuchi,,,Wagner 1933-1938
78,137A,No N-M pronouns,N-M Pronouns,Yuchi,,,Wagner 1933-1938
79,137B,No m in second person singular,M in Second Person Singular,Yuchi,,,Wagner 1933-1938
80,143A,NegV,Order of Negative Morpheme and Verb,Yuchi,,,Linn 2001
81,143E,NegV,Preverbal Negative Morphemes,Yuchi,,,Linn 2001
82,143F,None,Postverbal Negative Morphemes,Yuchi,,,Linn 2001
83,143G,None,Minor morphological means of signaling negation,Yuchi,,,Linn 2001
84,144A,Other,"Position of Negative Word With Respect to Subject, Object, and Verb",Yuchi,,,Linn 2001
85,144L,Other NegV,The Position of Negative Morphemes in SOV Languages,Yuchi,,,Linn 2001
86,144S,NoSOVNeg,SOVNeg Order,Yuchi,,,Linn 2001
