,ID,Name,Parameter,Language,Frequency,Confidence,References
0,9A,Initial velar nasal,The Velar Nasal,Yup'ik (Central),,,Jacobson 1995
1,10A,Contrast absent,Vowel Nasalization,Yup'ik (Central),,,Miyaoka 1996
2,14A,No fixed stress,Fixed Stress Locations,Yup'ik (Central),,,Jacobson 1985
3,15A,Left-edge: First or second,Weight-Sensitive Stress,Yup'ik (Central),,,Jacobson 1985
4,16A,Combined,Weight Factors in Weight-Sensitive Stress Systems,Yup'ik (Central),,,Jacobson 1985
5,17A,Iambic,Rhythm Types,Yup'ik (Central),,,Jacobson 1985
6,23A,Double marking,Locus of Marking in the Clause,Yup'ik (Central),,,Miyaoka 1996
7,24A,Double marking,Locus of Marking in Possessive Noun Phrases,Yup'ik (Central),,,Miyaoka 1996
8,25A,Double-marking,Locus of Marking: Whole-language Typology,Yup'ik (Central),,,Miyaoka 1996
9,25B,Non-zero marking,Zero Marking of A and P Arguments,Yup'ik (Central),,,Miyaoka 1996
10,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Yup'ik (Central),,,Reed et al. 1977
11,27A,No productive reduplication,Reduplication,Yup'ik (Central),,,
12,28A,Core cases only,Case Syncretism,Yup'ik (Central),,,Jacobson 1995
13,29A,Not syncretic,Syncretism in Verbal Person/Number Marking,Yup'ik (Central),,,Jacobson 1995
14,30A,None,Number of Genders,Yup'ik (Central),,,Jacobson 1995
15,31A,No gender,Sex-based and Non-sex-based Gender Systems,Yup'ik (Central),,,Jacobson 1995
16,32A,No gender,Systems of Gender Assignment,Yup'ik (Central),,,Jacobson 1995
17,33A,Plural suffix,Coding of Nominal Plurality,Yup'ik (Central),,,Reed et al. 1977
18,34A,"All nouns, always obligatory",Occurrence of Nominal Plurality,Yup'ik (Central),,,Miyaoka 1996
19,36A,Unique affixal associative plural,The Associative Plural,Yup'ik (Central),,,Corbett and Mithun 1996
20,37A,No definite or indefinite article,Definite Articles,Yup'ik (Central),,,Reed et al. 1977
