,ID,Name,Parameter,Language,Frequency,Confidence,References
0,37A,Definite affix,Definite Articles,Zapotec (Yatzachi),,,Butler 1980
1,52A,Mixed,Comitatives and Instrumentals,Zapotec (Yatzachi),,,Butler 1980
2,53A,"First/one-th, two-th, three-th",Ordinal Numerals,Zapotec (Yatzachi),,,Butler 1980
3,69A,Tense-aspect prefixes,Position of Tense-Aspect Affixes,Zapotec (Yatzachi),,,Butler 1980
4,74A,Verbal constructions,Situational Possibility,Zapotec (Yatzachi),,,Butler 1980
5,75A,Affixes on verbs,Epistemic Possibility,Zapotec (Yatzachi),,,Butler 1980
6,76A,No overlap,Overlap between Situational and Epistemic Modal Marking,Zapotec (Yatzachi),,,Butler 1980
7,82A,VS,Order of Subject and Verb,Zapotec (Yatzachi),,,Butler 1980
8,83A,VO,Order of Object and Verb,Zapotec (Yatzachi),,,Butler 1980
9,85A,Prepositions,Order of Adposition and Noun Phrase,Zapotec (Yatzachi),,,Butler 1980
10,86A,Noun-Genitive,Order of Genitive and Noun,Zapotec (Yatzachi),,,Butler 1980
11,87A,Noun-Adjective,Order of Adjective and Noun,Zapotec (Yatzachi),,,Butler 1980
12,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Zapotec (Yatzachi),,,Butler 1980
13,89A,Numeral-Noun,Order of Numeral and Noun,Zapotec (Yatzachi),,,Butler 1980
14,92A,Initial,Position of Polar Question Particles,Zapotec (Yatzachi),,,Butler 1980
15,93A,Initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Zapotec (Yatzachi),,,Butler 1980
16,94A,Mixed,Order of Adverbial Subordinator and Clause,Zapotec (Yatzachi),,,Butler 1980
17,95A,VO and Prepositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Zapotec (Yatzachi),,,
18,97A,VO and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Zapotec (Yatzachi),,,
19,116A,Question particle,Polar Questions,Zapotec (Yatzachi),,,Butler 1980
