,ID,Name,Parameter,Language,Frequency,Confidence,References
0,34A,"All nouns, always obligatory",Occurrence of Nominal Plurality,Zazaki,,,Selcan 1998
1,46A,Special,Indefinite Pronouns,Zazaki,,,Selcan 1998
2,52A,Identity,Comitatives and Instrumentals,Zazaki,,,Paul 1998
3,53A,"First, two-th, three-th",Ordinal Numerals,Zazaki,,,Selcan 1998
4,70A,Second singular and second plural,The Morphological Imperative,Zazaki,,,Todd 1985
5,71A,Special imperative + special negative,The Prohibitive,Zazaki,,,Todd 1985
6,81A,SOV,"Order of Subject, Object and Verb",Zazaki,,,
7,82A,SV,Order of Subject and Verb,Zazaki,,,
8,83A,OV,Order of Object and Verb,Zazaki,,,
9,85A,Postpositions,Order of Adposition and Noun Phrase,Zazaki,,,
10,87A,Noun-Adjective,Order of Adjective and Noun,Zazaki,,,
11,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Zazaki,,,
12,89A,Numeral-Noun,Order of Numeral and Noun,Zazaki,,,
13,92A,No question particle,Position of Polar Question Particles,Zazaki,,,
14,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Zazaki,,,
15,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Zazaki,,,
16,97A,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Zazaki,,,
17,105A,Indirect-object construction,Ditransitive Constructions: The Verb 'Give',Zazaki,,,Selcan 1998
18,112A,Negative affix,Negative Morphemes,Zazaki,,,
19,113A,Symmetric,Symmetric and Asymmetric Standard Negation,Zazaki,,,Paul 1998
20,114A,Non-assignable,Subtypes of Asymmetric Standard Negation,Zazaki,,,Paul 1998
21,115A,Predicate negation also present,Negative Indefinite Pronouns and Predicate Negation,Zazaki,,,Selcan 1998
22,116A,Interrogative intonation only,Polar Questions,Zazaki,,,
23,118A,Nonverbal encoding,Predicative Adjectives,Zazaki,,,Todd 1985
24,119A,Identical,Nominal and Locational Predication,Zazaki,,,Todd 1985
25,120A,Impossible,Zero Copula for Predicate Nominals,Zazaki,,,Todd 1985
26,143A,[Neg-V],Order of Negative Morpheme and Verb,Zazaki,,,
27,143E,[Neg-V],Preverbal Negative Morphemes,Zazaki,,,
28,143F,None,Postverbal Negative Morphemes,Zazaki,,,
29,143G,None,Minor morphological means of signaling negation,Zazaki,,,
30,144A,MorphNeg,"Position of Negative Word With Respect to Subject, Object, and Verb",Zazaki,,,
31,144L,SO[Neg-V],The Position of Negative Morphemes in SOV Languages,Zazaki,,,
32,144P,No NegSOV,NegSOV Order,Zazaki,,,
33,144Q,No SNegOV,SNegOV Order,Zazaki,,,
34,144R,Prefix&NoDoubleNeg,SONegV Order,Zazaki,,,
35,144S,NoSOVNeg,SOVNeg Order,Zazaki,,,
