,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Little affixation,Prefixing vs. Suffixing in Inflectional Morphology,Zhuang (Northern),,,Yongxian Luo 2008
1,27A,Full reduplication only,Reduplication,Zhuang (Northern),,,Edmondson 2001
2,33A,No plural,Coding of Nominal Plurality,Zhuang (Northern),,,Yongxian Luo 2008
3,51A,No case affixes or adpositional clitics,Position of Case Affixes,Zhuang (Northern),,,Yongxian Luo 2008
4,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Zhuang (Northern),,,Yongxian Luo 2008
5,69A,No tense-aspect inflection,Position of Tense-Aspect Affixes,Zhuang (Northern),,,Yongxian Luo 2008
6,81A,SVO,"Order of Subject, Object and Verb",Zhuang (Northern),,,Yongxian Luo 2008
7,82A,SV,Order of Subject and Verb,Zhuang (Northern),,,Yongxian Luo 2008
8,83A,VO,Order of Object and Verb,Zhuang (Northern),,,Yongxian Luo 2008
9,85A,Prepositions,Order of Adposition and Noun Phrase,Zhuang (Northern),,,Yongxian Luo 2008
10,89A,Numeral-Noun,Order of Numeral and Noun,Zhuang (Northern),,,Yongxian Luo 2008
11,90A,Noun-Relative clause,Order of Relative Clause and Noun,Zhuang (Northern),,,Yongxian Luo 2008
12,90C,Noun-Relative clause (NRel) dominant,Postnominal relative clauses,Zhuang (Northern),,,Yongxian Luo 2008
13,92A,Final,Position of Polar Question Particles,Zhuang (Northern),,,Yongxian Luo 2008
14,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Zhuang (Northern),,,Yongxian Luo 2008
15,94A,Mixed,Order of Adverbial Subordinator and Clause,Zhuang (Northern),,,Yongxian Luo 2008
16,95A,VO and Prepositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Zhuang (Northern),,,
17,96A,VO and NRel,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Zhuang (Northern),,,
18,112A,"Negative word, unclear if verb or particle",Negative Morphemes,Zhuang (Northern),,,Yongxian Luo 2008
19,116A,Question particle,Polar Questions,Zhuang (Northern),,,Yongxian Luo 2008
