,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Moderately small,Consonant Inventories,Zoque (Copainalá),,,Wonderly 1951a
1,2A,Average (5-6),Vowel Quality Inventories,Zoque (Copainalá),,,Wonderly 1951a
2,3A,Moderately low,Consonant-Vowel Ratio,Zoque (Copainalá),,,Wonderly 1951a
3,4A,No voicing contrast,Voicing in Plosives and Fricatives,Zoque (Copainalá),,,Wonderly 1951a
4,5A,Other,Voicing and Gaps in Plosive Systems,Zoque (Copainalá),,,Wonderly 1951a
5,6A,None,Uvular Consonants,Zoque (Copainalá),,,Wonderly 1951a
6,7A,No glottalized consonants,Glottalized Consonants,Zoque (Copainalá),,,Wonderly 1951a
7,8A,"/l/, no obstruent laterals",Lateral Consonants,Zoque (Copainalá),,,Wonderly 1951a
8,9A,No initial velar nasal,The Velar Nasal,Zoque (Copainalá),,,Wonderly 1951a
9,11A,None,Front Rounded Vowels,Zoque (Copainalá),,,Wonderly 1951a
10,12A,Complex,Syllable Structure,Zoque (Copainalá),,,Wonderly 1951a
11,13A,No tones,Tone,Zoque (Copainalá),,,Wonderly 1951a
12,14A,Penultimate,Fixed Stress Locations,Zoque (Copainalá),,,Wonderly 1951a
13,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Zoque (Copainalá),,,Wonderly 1951a
14,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Zoque (Copainalá),,,Wonderly 1951a
15,17A,Trochaic,Rhythm Types,Zoque (Copainalá),,,Wonderly 1951a
16,18A,All present,Absence of Common Consonants,Zoque (Copainalá),,,Wonderly 1951a
17,19A,None,Presence of Uncommon Consonants,Zoque (Copainalá),,,Wonderly 1951a
18,20A,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Zoque (Copainalá),,,Harrison et al. 1981
19,21A,Monoexponential case,Exponence of Selected Inflectional Formatives,Zoque (Copainalá),,,Harrison et al. 1981
20,21B,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Zoque (Copainalá),,,Harrison et al. 1981
21,22A,6-7 categories per word,Inflectional Synthesis of the Verb,Zoque (Copainalá),,,Harrison et al. 1981
22,23A,Double marking,Locus of Marking in the Clause,Zoque (Copainalá),,,Harrison et al. 1981
23,24A,Double marking,Locus of Marking in Possessive Noun Phrases,Zoque (Copainalá),,,Harrison et al. 1981
24,25A,Double-marking,Locus of Marking: Whole-language Typology,Zoque (Copainalá),,,Harrison et al. 1981
25,25B,Non-zero marking,Zero Marking of A and P Arguments,Zoque (Copainalá),,,Harrison et al. 1981
26,26A,Equal prefixing and suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Zoque (Copainalá),,,Harrison et al. 1981
