,ID,Name,Parameter,Language,Frequency,Confidence,References
0,1A,Average,Consonant Inventories,Zuni,,,Newman 1965
1,2A,Average (5-6),Vowel Quality Inventories,Zuni,,,Newman 1965
2,3A,Average,Consonant-Vowel Ratio,Zuni,,,Newman 1965
3,4A,No voicing contrast,Voicing in Plosives and Fricatives,Zuni,,,Newman 1965
4,5A,Other,Voicing and Gaps in Plosive Systems,Zuni,,,Newman 1965
5,6A,None,Uvular Consonants,Zuni,,,Newman 1965
6,7A,Ejectives only,Glottalized Consonants,Zuni,,,Newman 1965
7,8A,/l/ and lateral obstruent,Lateral Consonants,Zuni,,,Newman 1965
8,9A,No velar nasal,The Velar Nasal,Zuni,,,Walker 1972
9,11A,None,Front Rounded Vowels,Zuni,,,Newman 1965
10,12A,Moderately complex,Syllable Structure,Zuni,,,Newman 1965
11,13A,No tones,Tone,Zuni,,,Newman 1965
12,14A,Initial,Fixed Stress Locations,Zuni,,,Bunzel 1933-1938
13,15A,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Zuni,,,Bunzel 1933-1938
14,16A,No weight,Weight Factors in Weight-Sensitive Stress Systems,Zuni,,,Bunzel 1933-1938
15,18A,All present,Absence of Common Consonants,Zuni,,,Newman 1965
16,19A,None,Presence of Uncommon Consonants,Zuni,,,Newman 1965
17,23A,Double marking,Locus of Marking in the Clause,Zuni,,,Newman 1965
18,24A,Head marking,Locus of Marking in Possessive Noun Phrases,Zuni,,,Newman 1965
19,25A,Inconsistent or other,Locus of Marking: Whole-language Typology,Zuni,,,Newman 1965
20,25B,Non-zero marking,Zero Marking of A and P Arguments,Zuni,,,Newman 1965
21,27A,No productive reduplication,Reduplication,Zuni,,,Newman 1965
22,30A,None,Number of Genders,Zuni,,,Newman 1965
23,31A,No gender,Sex-based and Non-sex-based Gender Systems,Zuni,,,Newman 1965
24,32A,No gender,Systems of Gender Assignment,Zuni,,,Newman 1965
25,33A,Plural suffix,Coding of Nominal Plurality,Zuni,,,Nichols 1997b
26,34A,"All nouns, always obligatory",Occurrence of Nominal Plurality,Zuni,,,Newman 1996
27,35A,Person stem + pronominal plural affix,Plurality in Independent Personal Pronouns,Zuni,,,Bunzel 1933-1938
28,44A,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Zuni,,,Newman 1965
29,46A,Interrogative-based,Indefinite Pronouns,Zuni,,,Newman 1996
30,48A,No adpositions,Person Marking on Adpositions,Zuni,,,Bunzel 1933-1938
31,49A,No morphological case-marking,Number of Cases,Zuni,,,Newman 1965
32,50A,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Zuni,,,Newman 1965
33,51A,Case suffixes,Position of Case Affixes,Zuni,,,Nichols 1997b
34,55A,Absent,Numeral Classifiers,Zuni,,,Nichols 1992
35,57A,No possessive affixes,Position of Pronominal Possessive Affixes,Zuni,,,Newman 1965
36,64A,Differentiation,Nominal and Verbal Conjunction,Zuni,,,Newman 1996
37,65A,No grammatical marking,Perfective/Imperfective Aspect,Zuni,,,Bybee et al. 1994
38,66A,"Present, no remoteness distinctions",The Past Tense,Zuni,,,Bybee et al. 1994
39,67A,No inflectional future,The Future Tense,Zuni,,,Bybee et al. 1994
40,68A,No perfect,The Perfect,Zuni,,,Bybee et al. 1994
